,95,"Čillík Ladislav, JUDr.",,,,0
,96,"Čintala Matej, JUDr.",,,,0
,97,"Čislák Dušan, JUDr.",,,,0
,98,"Čižmár Ľuboslav, JUDr.",Okresný prokurátor,Okresná prokuratúra,Brezno,1
,99,"Čižmár Marek, JUDr.",,,,0
,100,"Čižmárik Juraj, JUDr.",,,,0
,101,"Čižnár Jaromír, JUDr.",Generálny prokurátor Slovenskej republiky,Generálna prokuratúra,,1
,102,"Čorba Marián, JUDr.",,,,0
,103,"Čurillová Natália, JUDr.",,,,0
,104,"Ďaďan Peter, JUDr.",,,,0
,105,"Dana Peter, JUDr.",,,,0
,106,"Daniel Karol, JUDr.",Poverený výkonom funkcie okresného prokurátora,Okresná prokuratúra,Poprad,1
,107,"Danielčák Peter, JUDr.",Poverený výkonom funkcie okresného prokurátora,Okresná prokuratúra,Kežmarok,1
,108,"Danihlíková Lenka, Mgr.",,,,0
,109,"Delej Branislav, JUDr.",,,,0
,110,"Demčák Michal, JUDr.",,,,0
,111,"Demčáková Karin, JUDr.",,,,0
,112,"Demeterová Zdenka, JUDr.",,,,0
,113,"Demjanovič Vratko, JUDr.",,,,0
,114,"Derco Anatolij, JUDr.",,,,0
,115,"Dobešová Eva, JUDr.",,,,0
,116,"Dobrík Ľubomír, JUDr.",,,,0
,117,"Dobríková Dana, Mgr.",,,,0
,118,"Doležaj Miroslav, JUDr.",námestník okresného prokurátora,Okresná prokuratúra,Levice,1
,119,"Domankuš Miroslav, JUDr.",,Okresná prokuratúra,Nitra,1
,120,"Dorica Igor, JUDr.",Vedúci prieskumného oddelenia,Generálna prokuratúra,,1
,121,"Dorič Drahoslav, JUDr. PhD.",,,,0
,122,"Drdáková Radoslava, Mgr.",,,,0
,123,"Drdanková Tímea, JUDr.",,,,0
,124,"Drexlerová Mária, JUDr.",,,,0
,125,"Drgoňová Eva, JUDr.",,,,0
,126,"Drietomská Anna, JUDr.",,,,0
,127,"Drozd Miroslav, JUDr.",,,,0
,128,"Družbacká Jana, JUDr.",,,,0
,129,"Dubcová Elena, Mgr.",,,,0
,130,"Dudášová Borošová Dagmar, JUDr.",,,,0
,131,"Dudášová Irena, JUDr.",,,,0
,132,"Dudíková Ivana, JUDr.",,,,0
,133,"Dudová Sandra, Mgr.",,,,0
,134,"Duhár Radovan, Mgr.",,,,0
,135,"Dukes Richard, Mgr.",vedúci občiansko-súdneho oddelenia,Generálna prokuratúra,,1
,136,"Ďuricová Romana, JUDr.",,,,0
,137,"Ďurík Martin, Mgr.",,,,0
,138,"Dzadík Peter, JUDr. PhD.",námestník okresného prokurátora,Okresná prokuratúra,Prešov,1
,139,"Dzurenda Ján, JUDr.",,,,0
,140,"Dzurendová Eva, JUDr.",,Okresná prokuratúra,Poprad,1
,141,"Dzurendová Tatiana, JUDr.",,,,0
,142,"Džavoronok Martin, JUDr.",Okresný prokurátor,Okresná prokuratúra,Veľký Krtíš,1
,143,"Džmurová Alena, JUDr.",,Okresná prokuratúra,Bardejov,1
,144,"Eliaš František, JUDr.",,,,0
,145,"Eliašová Barbara, JUDr.",,,,0
,146,"Ernest Mário, JUDr.",,,,0
,147,"Ernest Vojtech, JUDr.",Krajský prokurátor,Krajská prokuratúra,Nitra,1
