ID,Meno a priezvisko,Súd 2021,Potvrdené odvolania,Vybavenosť,Dispozičný čas,Restančné z nevybavených,Produktivita,,,,,,,
128,Martina Brniaková,Okresný súd Žilina,10,N/A,N/A,N/A,N/A,,,,,,,
129,Boris Brondoš,Mestský Súd Košice,4,N/A,N/A,N/A,2,,,,,,,
131,Jaroslav Bugeľ,Okresný súd Svidník,N/A,N/A,N/A,N/A,N/A,,,,,,,
132,Dagmar Buchalová,Mestský súd Bratislava II,2,0,4,6,7,,,,,,,
134,Vladimír Buchvald,Mestský súd Bratislava II,3,N/A,N/A,N/A,N/A,,,,,,,
135,Tatiana Buchvaldová,Mestský súd Bratislava III,1,N/A,N/A,N/A,N/A,,,,,,,
136,Ladislav Bujňák,Okresný súd Trebišov,3,2,6,7,2,,,,,,,
137,Štefan Bujňák,Okresný súd Svidník,0,N/A,N/A,N/A,N/A,,,,,,,
138,Boris Buľubaš,Okresný súd Skalica,6,10,2,5,4,,,,,,,
139,Gabriela Buľubašová,Mestský súd Bratislava I,3,N/A,N/A,N/A,N/A,,,,,,,
140,Ľubomír Bundzel st.,Okresný súd Trnava,5,N/A,N/A,N/A,N/A,,,,,,,
142,Ľubica Bundzelová,Okresný súd Galanta,3,N/A,N/A,N/A,N/A,,,,,,,
143,Richard Bureš,Okresný súd Poprad,5,5,7,1,4,,,,,,,
147,Agáta Burkušová,Okresný súd Košice II,3,6,0,2,6,,,,,,,
149,Janka Butašová,Okresný súd Skalica,4,N/A,N/A,N/A,N/A,,,,,,,
151,Dana Bystrianská,Mestský Súd Košice,N/A,N/A,N/A,N/A,N/A,,,,,,,
156,Michal Calko,Okresný súd Bardejov,6,5,7,6,5,,,,,,,
157,Ľubica Cambelová,Okresný súd Levice,7,N/A,N/A,N/A,N/A,,,,,,,
158,Jarmila Centková,Mestský Súd Košice,5,5,4,5,10,,,,,,,
160,Mária Cifrová,Okresný súd Lučenec,4,N/A,N/A,N/A,N/A,,,,,,,
161,Slavomír Cimerman,Okresný súd Veľký Krtíš,4,8,7,7,5,,,,,,,
163,Jana Coboriová,Okresný súd Nitra,4,6,4,7,9,,,,,,,
164,Attila Csaba,Okresný súd Komárno,0,N/A,N/A,N/A,N/A,,,,,,,
165,Peter Csank,Okresný súd Rimavská Sobota,9,4,8,10,4,,,,,,,
166,Oľga Csémyová,Okresný súd Dunajská Streda,2,3,3,5,7,,,,,,,
167,Božena Csibrányiová,Okresný súd Nové Zámky,8,4,4,6,7,,,,,,,
168,Eva Cvengová,Okresný súd Banská Bystrica,6,5,4,7,10,,,,,,,
169,Denisa Cviková,Mestský súd Bratislava I,6,N/A,N/A,N/A,N/A,,,,,,,
170,Diana Cviková,Okresný súd Nové Zámky,9,7,8,4,3,,,,,,,
172,Alena Čakváriová,Mestský súd Bratislava II,3,N/A,N/A,N/A,N/A,,,,,,,
174,Zdenko Čaniga,Okresný súd Pezinok,0,N/A,N/A,N/A,N/A,,,,,,,
175,Marek Čech,Okresný súd Prešov,5,3,7,3,5,,,,,,,
177,Mária Čechovičová,Mestský súd Bratislava IV,7,N/A,N/A,N/A,N/A,,,,,,,
180,Valéria Černegová,Mestský súd Bratislava V,0,N/A,N/A,N/A,N/A,,,,,,,
182,Vladimír Červeňák,Okresný súd Michalovce,0,7,1,5,8,,,,,,,
183,Mária Červenáková,Okresný súd Levice,7,N/A,N/A,N/A,N/A,,,,,,,
186,Eva Čipková,Okresný súd Rimavská Sobota,9,6,8,6,6,,,,,,,
188,Zuzana Čisovská,Mestský Súd Košice,4,N/A,N/A,N/A,N/A,,,,,,,
189,František Čisovský,Okresný súd Košice II,6,7,2,6,7,,,,,,,
190,Miroslav Číž,Okresný súd Považská Bystrica,3,N/A,N/A,N/A,N/A,,,,,,,
191,Miron Čiževský,Mestský Súd Košice,4,1,0,3,1,,,,,,,
192,Eliška Čonková,Okresný súd Trebišov,0,N/A,N/A,N/A,N/A,,,,,,,
194,Ivan Ďalak,Okresný súd Rimavská Sobota,9,7,7,7,6,,,,,,,
196,Ivana Dančová,Mestský súd Bratislava II,3,5,1,3,8,,,,,,,
197,Janka Danková,Okresný súd Ružomberok,4,N/A,N/A,N/A,N/A,,,,,,,
198,Ivan Daňo,Okresný súd Humenné,4,4,7,1,4,,,,,,,
200,Milena Daubnerová,Mestský súd Bratislava I,N/A,N/A,N/A,N/A,N/A,,,,,,,
201,Ingrid Daxner,Okresný súd Pezinok,4,2,0,4,3,,,,,,,
204,Renáta Deáková,Okresný súd Brezno,0,N/A,N/A,N/A,N/A,,,,,,,
205,Marián Degma,Mestský súd Bratislava III,8,N/A,N/A,N/A,N/A,,,,,,,
206,Ingrid Degmová-Pospíšilová,Mestský súd Bratislava III,6,N/A,N/A,N/A,N/A,,,,,,,
207,Pavol Dekánek,Mestský súd Bratislava I,4,N/A,N/A,N/A,N/A,,,,,,,
209,Jana Diškanová,Okresný súd Banská Bystrica,4,N/A,N/A,N/A,N/A,,,,,,,
210,"Rastislav Dlugoš, PhD.",Okresný súd Nové Mesto nad Váhom,5,N/A,N/A,N/A,N/A,,,,,,,
211,Adriana Dobiášová,Okresný súd Nitra,4,5,5,5,7,,,,,,,
213,Darina Dobošová,Okresný súd Košice II,6,7,4,4,10,,,,,,,
214,Miroslav Dobrík,Okresný súd Martin,4,N/A,N/A,N/A,N/A,,,,,,,
216,Erika Dodulíková,Okresný súd Čadca,1,5,5,2,7,,,,,,,
218,Otília Doláková,Mestský súd Bratislava I,3,2,0,0,2,,,,,,,
220,Marcela Dolníková Žabková,Okresný súd Žilina,2,7,0,4,5,,,,,,,
221,Vladimír Donič,Okresný súd Humenné,3,N/A,N/A,N/A,N/A,,,,,,,
222,Gabriela Donnerová,Mestský súd Bratislava II,8,N/A,N/A,N/A,N/A,,,,,,,
223,Zuzana Doricová,Mestský súd Bratislava I,7,2,2,5,8,,,,,,,
225,Daniela Drnáková,Mestský súd Bratislava I,5,8,0,1,5,,,,,,,
226,Mario Dubaň,Mestský súd Bratislava IV,7,N/A,N/A,N/A,N/A,,,,,,,
228,Jana Dubivská,Okresný súd Bardejov,5,4,4,5,1,,,,,,,
229,Monika Dubjel,Mestský Súd Košice,5,N/A,N/A,N/A,2,,,,,,,
230,Judita Dubjelová,Okresný súd Stará Ľubovňa,4,N/A,N/A,N/A,N/A,,,,,,,
232,Martina Dubovcová,Okresný súd Trenčín,0,1,3,0,0,,,,,,,
233,Viera Dubovinská,Okresný súd Spišská Nová Ves,3,N/A,N/A,N/A,N/A,,,,,,,
234,Gabriela Dúbravková,Okresný súd Žilina,5,6,1,4,4,,,,,,,
237,Jana Dudíková,Okresný súd Košice okolie,9,N/A,N/A,N/A,N/A,,,,,,,
239,Helena Dudzíková,Okresný súd Topoľčany,0,N/A,N/A,N/A,N/A,,,,,,,
240,Ivana Dufalová,Mestský súd Bratislava III,8,9,4,3,8,,,,,,,
244,Adriana Dulovičová,Okresný súd Rimavská Sobota,9,8,7,8,6,,,,,,,
245,Marta Ďumbalová,Okresný súd Trnava,1,N/A,N/A,N/A,N/A,,,,,,,
247,Dušan Ďurian,Okresný súd Partizánske,10,N/A,N/A,N/A,N/A,,,,,,,
251,Zoltán Dusza,Okresný súd Rimavská Sobota,9,N/A,N/A,N/A,N/A,,,,,,,
252,Jarmila Dušáková,Okresný súd Rožňava,8,4,8,7,7,,,,,,,
253,Stanislav Dutko,Mestský súd Bratislava I,2,N/A,N/A,N/A,N/A,,,,,,,
255,Michal Dzurdzík,Mestský súd Bratislava II,4,N/A,N/A,N/A,N/A,,,,,,,
256,Eva Dzúriková,Okresný súd Zvolen,7,N/A,N/A,N/A,N/A,,,,,,,
260,Jozef Engel,Okresný súd Humenné,3,6,4,6,7,,,,,,,
262,Alena Ernestová,Okresný súd Spišská Nová Ves,3,N/A,N/A,N/A,N/A,,,,,,,
263,Katarína Fakanová,Mestský súd Bratislava II,5,N/A,N/A,N/A,N/A,,,,,,,
264,Roman Farkaš,Mestský súd Bratislava II,0,N/A,N/A,N/A,N/A,,,,,,,
266,"Roman Farkaš, PhD.",Mestský súd Bratislava II,4,4,6,4,10,,,,,,,
267,Beata Farkašová,Mestský súd Bratislava III,4,0,0,4,7,,,,,,,
268,Dana Farkášová,Okresný súd Prešov,6,6,5,6,8,,,,,,,
269,Eva Farkašová,Okresný súd Prešov,3,0,3,10,10,,,,,,,
270,Ľubica Farkašová,Okresný súd Nitra,4,N/A,N/A,N/A,N/A,,,,,,,
271,Monika Farkašová,Okresný súd Nitra,4,N/A,N/A,N/A,N/A,,,,,,,
272,Iveta Farkašovská,Okresný súd Rožňava,5,7,6,5,6,,,,,,,
273,Štefan Fedor,Okresný súd Prievidza,5,6,6,8,4,,,,,,,
274,Blažena Fedorková,Okresný súd Spišská Nová Ves,4,3,6,8,10,,,,,,,
275,Milena Fegyesová,Okresný súd Žiar nad Hronom,7,0,6,9,2,,,,,,,
276,Ivana Fekete,Mestský súd Bratislava III,5,0,0,4,8,,,,,,,
277,Maroš Fekete,Mestský súd Bratislava III,5,N/A,N/A,N/A,N/A,,,,,,,
278,Kristína Ferencziová,Okresný súd Galanta,6,N/A,N/A,N/A,N/A,,,,,,,
281,Michal Fiala,Okresný súd Trenčín,7,6,6,5,4,,,,,,,
282,Jana Fígerová,Mestský súd Bratislava IV,5,2,0,5,2,,,,,,,
286,Mária Filová,Mestský súd Bratislava V,2,7,5,7,10,,,,,,,
287,Roman Fitt,Mestský súd Bratislava III,2,4,7,3,3,,,,,,,
291,Eva Foltánová,Okresný súd Galanta,2,3,4,6,10,,,,,,,
293,Eva Franková,Okresný súd Trebišov,4,1,3,8,9,,,,,,,
294,Gabriel Frankovič,Okresný súd Košice II,0,N/A,N/A,N/A,N/A,,,,,,,
296,Anna Frigová,Okresný súd Svidník,8,3,3,5,5,,,,,,,
297,Michaela Frimmelová,Mestský súd Bratislava II,4,N/A,N/A,N/A,N/A,,,,,,,
298,Gabriela Fuchsová,Okresný súd Trebišov,5,N/A,N/A,N/A,N/A,,,,,,,
300,Eva Fulcová,Mestský súd Bratislava I,N/A,N/A,N/A,N/A,N/A,,,,,,,
301,Marián Furman,Okresný súd Poprad,3,4,7,5,4,,,,,,,
303,Ladislav Gábor,Mestský Súd Košice,3,10,0,2,9,,,,,,,
305,Andrea Gabrielová,Okresný súd Lučenec,4,6,7,6,8,,,,,,,
306,Helena Gajdošová,Okresný súd Trnava,7,N/A,N/A,N/A,N/A,,,,,,,
307,Zuzana Gajerová,Okresný súd Pezinok,1,N/A,N/A,N/A,N/A,,,,,,,
308,Tibor Gál,Okresný súd Brezno,4,6,5,8,7,,,,,,,
309,Andrea Galdunová,Okresný súd Košice II,4,N/A,N/A,N/A,N/A,,,,,,,
311,Ján Gallo,Okresný súd Rožňava,10,N/A,N/A,N/A,N/A,,,,,,,
312,Jaroslav Gallo,Okresný súd Brezno,0,N/A,N/A,N/A,N/A,,,,,,,
314,Alica Gálová,Okresný súd Brezno,3,5,7,7,3,,,,,,,
315,Stanislav Galovič,Okresný súd Lučenec,5,4,9,8,8,,,,,,,
316,Marcela Gandelová,Mestský súd Bratislava II,9,N/A,N/A,N/A,N/A,,,,,,,
317,Silvia Gandelová,Mestský súd Bratislava III,5,4,2,5,6,,,,,,,
319,Peter Garaj,Okresný súd Nové Zámky,5,6,6,5,8,,,,,,,
320,Slávka Garančovská,Mestský Súd Košice,4,0,0,1,5,,,,,,,
321,Jana Gargulová,Okresný súd Spišská Nová Ves,2,4,6,8,10,,,,,,,
322,Soňa Gašková,Okresný súd Košice II,N/A,10,1,2,1,,,,,,,
323,Katarína Gašparová,Mestský súd Bratislava II,6,3,4,6,5,,,,,,,
325,Alica Gavalcová,Okresný súd Brezno,6,N/A,N/A,N/A,N/A,,,,,,,
326,Renáta Gavalcová,Okresný súd Trnava,N/A,N/A,N/A,N/A,N/A,,,,,,,
328,Mariana Gavalierová,Okresný súd Poprad,2,0,0,3,3,,,,,,,
329,Mária Gazdačková,Okresný súd Martin,7,6,5,6,5,,,,,,,
330,Branislav Gazdag,Mestský Súd Košice,5,0,5,8,0,,,,,,,
331,Andrea Gazdagová,Okresný súd Košice okolie,8,8,6,5,7,,,,,,,
333,Monika Géciová,Okresný súd Košice II,3,N/A,N/A,N/A,N/A,,,,,,,
334,Mikuláš Géczi,Okresný súd Lučenec,7,N/A,N/A,N/A,N/A,,,,,,,
339,Iveta Gildeinová,Okresný súd Humenné,6,2,6,8,10,,,,,,,
340,Andrea Gindlová,Okresný súd Žiar nad Hronom,6,5,7,8,4,,,,,,,
341,Mariana Ginelliová,Okresný súd Košice okolie,9,6,6,5,6,,,,,,,
342,Kristina Glezgová,Okresný súd Lučenec,4,N/A,N/A,N/A,N/A,,,,,,,
347,Richard Golis,Okresný súd Žilina,7,N/A,N/A,N/A,N/A,,,,,,,
348,Lívia Gombárová,Okresný súd Nové Zámky,4,7,8,6,3,,,,,,,
351,Miloš Greguš,Mestský Súd Košice,5,N/A,N/A,N/A,N/A,,,,,,,
353,Jana Grendárová,Mestský súd Bratislava IV,4,4,6,2,5,,,,,,,
356,Radovan Groman,Mestský súd Bratislava I,2,N/A,N/A,N/A,9,,,,,,,
358,Emília ml. Guľová,Mestský Súd Košice,3,2,2,7,1,,,,,,,
359,Jarmila Gulová,Mestský súd Bratislava I,0,N/A,N/A,N/A,N/A,,,,,,,
360,Milan Gylánik,Okresný súd Čadca,5,N/A,N/A,N/A,N/A,,,,,,,
361,Andrea Hadnagyová,Okresný súd Piešťany,5,1,2,5,3,,,,,,,
362,Viera Hadrbulcová,Mestský súd Bratislava I,5,6,0,0,4,,,,,,,
366,Adriana Halajová,Okresný súd Nitra,7,N/A,N/A,N/A,N/A,,,,,,,
368,Ladislav Halla,Okresný súd Žilina,2,N/A,N/A,N/A,N/A,,,,,,,
370,Lenka Halmešová,Okresný súd Nitra,8,N/A,N/A,N/A,N/A,,,,,,,
371,Jana Halušková,Okresný súd Liptovský Mikuláš,6,N/A,N/A,N/A,N/A,,,,,,,
372,Iveta Halvoňová,Mestský súd Bratislava III,4,6,6,2,10,,,,,,,
374,Ivica Hanusková,Okresný súd Žiar nad Hronom,N/A,N/A,N/A,N/A,N/A,,,,,,,
376,Ivana Hanuščaková,Okresný súd Bardejov,6,6,6,4,5,,,,,,,
378,Jana Hanzlíková,Okresný súd Trnava,3,N/A,N/A,N/A,N/A,,,,,,,
381,Kornélia Harcsová,Okresný súd Nové Zámky,5,4,3,6,7,,,,,,,
384,Slavomír Harmóci,Okresný súd Michalovce,4,5,8,4,5,,,,,,,
385,Zuzana Hartelová,Okresný súd Námestovo,6,N/A,N/A,N/A,N/A,,,,,,,
386,Mariana Harvancová,Mestský súd Bratislava I,7,N/A,N/A,N/A,N/A,,,,,,,
388,Marianna Hašková,Okresný súd Prievidza,7,3,5,8,4,,,,,,,
389,Marián Hatala,Okresný súd Nové Zámky,9,4,6,6,7,,,,,,,
391,Ľudmila Hatalová,Mestský súd Bratislava III,1,N/A,N/A,N/A,N/A,,,,,,,
393,Helena Hausleitnerová,Mestský súd Bratislava I,1,N/A,N/A,N/A,N/A,,,,,,,
394,Kamila Haverlová,Okresný súd Žiar nad Hronom,3,N/A,N/A,N/A,N/A,,,,,,,
395,Andrea Havírová,Okresný súd Vranov nad Topľou,0,N/A,N/A,N/A,N/A,,,,,,,
396,Eduard HEINRICH,Okresný súd Nitra,5,N/A,N/A,N/A,N/A,,,,,,,
397,Peter Heinrich,Okresný súd Nitra,5,N/A,N/A,N/A,N/A,,,,,,,
398,Ivana Heinrichová,Okresný súd Nitra,5,9,6,5,10,,,,,,,
400,Júlia Henteková,Okresný súd Komárno,6,N/A,N/A,N/A,N/A,,,,,,,
402,Eva Herichová,Okresný súd Spišská Nová Ves,7,N/A,N/A,N/A,N/A,,,,,,,
403,Mária Hirjaková,Okresný súd Michalovce,3,5,5,5,6,,,,,,,
405,Viliam Hlaváč,Okresný súd Rožňava,10,N/A,N/A,N/A,N/A,,,,,,,
406,Margaréta Hlaváčková,Mestský Súd Košice,5,N/A,N/A,N/A,N/A,,,,,,,
408,Ivo Hlucháň,Okresný súd Považská Bystrica,3,5,7,7,7,,,,,,,
410,Katarína Holečková,Okresný súd Banská Bystrica,4,7,1,3,4,,,,,,,
412,Martin Holič,Okresný súd Galanta,4,N/A,N/A,N/A,N/A,,,,,,,
416,Emília Horňáková,Okresný súd Senica,0,7,5,6,5,,,,,,,
418,Karmelita Horváthová,Okresný súd Trnava,0,N/A,N/A,N/A,N/A,,,,,,,
421,Marianna Hosťovecká,Okresný súd Galanta,1,10,6,2,9,,,,,,,
422,Anna Hozáková,Okresný súd Čadca,1,N/A,N/A,N/A,N/A,,,,,,,
425,Ivona Hrčeková,Mestský súd Bratislava I,3,0,0,10,2,,,,,,,
426,Marta Hrenčuková,Okresný súd Rožňava,5,N/A,N/A,N/A,N/A,,,,,,,
427,Ladislav Hreňo,Okresný súd Košice II,0,N/A,N/A,N/A,N/A,,,,,,,
429,Vladimír Hric,Okresný súd Poprad,4,3,6,0,4,,,,,,,
433,Peter Hrnčiar,Okresný súd Žilina,3,N/A,N/A,N/A,N/A,,,,,,,
434,Andrea Hrneková,Mestský súd Bratislava I,3,N/A,N/A,N/A,N/A,,,,,,,
436,Bohuš Hruška,Okresný súd Zvolen,3,3,7,7,8,,,,,,,
437,"Martina Hrušovská, PhD.",Mestský súd Bratislava V,6,N/A,N/A,N/A,N/A,,,,,,,
439,Hana Hubináková,Okresný súd Trenčín,0,0,0,0,2,,,,,,,
440,Ľubomír Hudák,Okresný súd Malacky,4,N/A,N/A,N/A,N/A,,,,,,,
443,Vlasta Huljaková,Okresný súd Banská Bystrica,6,N/A,N/A,N/A,N/A,,,,,,,
446,Milan Hupka,Mestský súd Bratislava II,4,0,0,2,4,,,,,,,
447,Mária Husárová,Okresný súd Spišská Nová Ves,0,N/A,N/A,N/A,N/A,,,,,,,
450,Milan Husťák,Mestský Súd Košice,1,N/A,N/A,N/A,N/A,,,,,,,
453,Veronika Húšťová,Okresný súd Martin,0,N/A,N/A,N/A,N/A,,,,,,,
454,Agnesa Hvastová,Okresný súd Rožňava,8,7,5,4,2,,,,,,,
455,Peter Hvizdoš,Okresný súd Trenčín,7,9,2,6,3,,,,,,,
458,Dušan Chamula,Okresný súd Žilina,3,N/A,N/A,N/A,N/A,,,,,,,
460,Vojtech Chmelan,Okresný súd Prievidza,4,6,7,5,5,,,,,,,
461,Ľubica Chmelanová,Okresný súd Prievidza,9,9,6,7,6,,,,,,,
463,Lucia Chrapková Ph.D.,Okresný súd Piešťany,2,N/A,N/A,N/A,N/A,,,,,,,
464,Ľuboš Chrenko,Okresný súd Topoľčany,7,2,4,5,4,,,,,,,
465,Andrej Chuda,Okresný súd Michalovce,3,N/A,N/A,N/A,N/A,,,,,,,
466,Magda Chudová,Okresný súd Michalovce,1,N/A,N/A,N/A,N/A,,,,,,,
467,Daniel Ilavský,Okresný súd Galanta,1,N/A,N/A,N/A,N/A,,,,,,,
471,Mária Ilgová,Okresný súd Martin,2,N/A,N/A,N/A,N/A,,,,,,,
472,Jaroslav Ivan,Okresný súd Piešťany,7,7,2,3,4,,,,,,,
473,Martin Ivan,Okresný súd Komárno,7,1,6,6,4,,,,,,,
474,Slavomír Ivanecký,Okresný súd Bardejov,6,5,8,6,4,,,,,,,
479,Mária Jačeková Sziegel,Okresný súd Dunajská Streda,3,4,6,5,8,,,,,,,
480,Ivana Jaďuďová,Okresný súd Komárno,2,7,5,6,6,,,,,,,
481,Miroslav Jagnešák,Okresný súd Námestovo,3,N/A,N/A,N/A,N/A,,,,,,,
482,Ivana Jahnová,Mestský súd Bratislava V,10,N/A,N/A,N/A,N/A,,,,,,,
485,Milena Jakubíková,Okresný súd Levice,7,3,7,6,10,,,,,,,
486,Monika Jakubová,Okresný súd Dunajská Streda,5,4,5,1,5,,,,,,,
487,Rastislav Jakubovič,Okresný súd Galanta,1,6,5,3,6,,,,,,,
488,Ján Jamrich,Mestský súd Bratislava I,4,N/A,N/A,N/A,N/A,,,,,,,
490,Mária Jamrišková,Okresný súd Martin,N/A,N/A,N/A,N/A,N/A,,,,,,,
492,Renáta Janáková,Mestský súd Bratislava V,N/A,N/A,N/A,N/A,N/A,,,,,,,
494,Marián Jančovič,Mestský súd Bratislava IV,2,N/A,N/A,N/A,N/A,,,,,,,
