name	date
Mgr. Juraj Lukáč	12.2.2013
JUDr. Marián Mačura	22.1.2008
Mgr. Danka Majdáková	29.10.2004
JUDr. Janka Majerčíková	20.6.2005
JUDr. Roman Majerský	17.1.2011
JUDr. Miroslava Maláriková	18.3.2005
JUDr. Marcela Malatká	15.6.2006
JUDr. Igor Malý	20.6.2005
JUDr. Ing. Miroslav Manďák	18.3.2005
JUDr. Marián Manduch	15.6.2006
Mgr. Miriam Manová	25.6.2008
JUDr. Markéta Marečková	20.6.2005
Mgr. Ivo Maruščák	26.6.2007
JUDr. Jozef Medveď	25.6.2008
JUDr. Martina Melníková	29.6.2010
JUDr. Eva Mészárosová	4.2.2009
JUDr. Oľga Mičietová	16.9.2004
Mgr. Anna Miháliková	29.11.2005
JUDr. Renáta Mihalíková	29.6.2010
JUDr. Božena Michaláčová	18.3.2005
JUDr. Martin Michalanský	18.3.2005
JUDr. Zuzana Miklošová	29.6.2010
JUDr. Alena Miková	20.6.2005
JUDr. Silvia Minková	24.9.2008
JUDr. Patrícia Miskolczyová	15.6.2006
JUDr. Milan Mitterpák	20.6.2005
JUDr. Andrea Moravčíková, PhD.	22.1.2008
JUDr. Zuzana Moťovská Dobošová	15.6.2006
JUDr. František Mozner	22.1.2008
JUDr. Pavol Naď	31.3.2006
JUDr. Renáta Nemčeková, PhD.	20.6.2005
JUDr. Erika Némethová Stiffelová	29.6.2010
JUDr. Oľga Nižňanská	20.6.2005
JUDr. Denisa Novotná Mlinárcsiková	20.6.2005
Mgr. Janette Nôtová	29.10.2004
JUDr. Jana Ocelková	29.6.2010
JUDr. Jana Očenášová	12.2.2013
JUDr. Mária Ondrejová	29.6.2010
JUDr. Dáša Onuferová	31.3.2006
JUDr. Beáta Oreničová	29.10.2004
Mgr. Alexandra Osadská	29.6.2010
JUDr. Gabriela Panáková	29.11.2005
Mgr. Alena Paveleková	22.1.2008
Mgr. Vlastimil Pavlikovský	29.10.2004
JUDr. Ivan Pavlovič	1.7.2004
JUDr. Miriam Penjaková	29.11.2005
JUDr. Naďa Pethöová	22.1.2008
Mgr. Viera Petrová	16.9.2004
Mgr. Kamil Petrovič	25.6.2008
JUDr. Slávka Petrovičová	29.10.2004
JUDr. Mariana Philadelphyová	24.9.2008
Mgr. Daniela Pilarčíková	24.9.2008
