,ID,judge,court,year,concourt.decisions,concourt.delays,assigned.agenda.dominant,C.assigned.agenda,Cb.assigned.agenda,P.assigned.agenda,Trest.assigned.agenda,decided.agenda.dominant,workdays,incoming.10.days,E1,E1.mean,E2,E2.mean,E3,E3.mean,E4,E4.mean,E5,E5.mean,E.score.total.new,affirmed,sum.appeals,Q1,Q1.mean,Q2,Q2.mean,Q3,Q3.mean,dominant.agenda,Q.score.total.new,score.total.new,rank
391,823,JUDr. Marie Mészárosová,Okresný súd Dunajská Streda,2015,0,0,C,2215,899,48,0,C,1067,65,80.6,97.1,1045,377,363,150,34.7,42.6,461,339,8,93,165,56.4,67.1,6.5,9.3,2.8,3.0,C,4.5,12.5,677.-688.
392,539,JUDr. Mário Karaffa,Okresný súd Galanta,2015,2,0,C,2742,362,0,0,C,1032,44,101.1,97.1,661,377,279,150,42.2,42.6,261,339,14.5,122,243,50.2,67.1,8.4,9.3,4.2,3.0,C,3,17.5,542.-556.
393,1288,JUDr. Mário Šulej,Okresný súd Brezno,2015,1,1,Trest,0,0,0,891,Trest,1065,42,107.2,97.1,29,377,8,150,27.6,42.6,59,339,20.5,20,24,83.3,63.8,2.7,8.1,0.4,3.0,Trest,12,32.5,18.-21.
394,777,JUDr. Markéta Marečková,Okresný súd Poprad,2015,1,0,C,1855,51,0,0,C,1093,19,77.0,97.1,449,377,133,150,29.6,42.6,340,339,10.5,160,250,64.0,67.1,13.7,9.3,4.9,3.0,C,7.5,18,525.-541.
395,52,JUDr. Marta Barková,Mestský súd Bratislava I,2015,4,0,Cb,0,918,0,0,Cb,928,49,123.1,97.1,461,377,281,150,61.0,42.6,657,339,10,68,102,66.7,64.9,10.6,8.8,3.5,3.0,Cb,7.5,17.5,542.-556.
396,529,JUDr. Marta Kamenská,Okresný súd Veľký Krtíš,2015,0,0,C,1749,18,62,0,C,1016,21,123.9,97.1,310,377,81,150,26.1,42.6,148,339,21,84,144,58.3,67.1,7.8,9.3,3.2,3.0,C,4.5,25.5,194.-213.
397,812,JUDr. Marta Melicherčíková,Mestský Súd Košice,2015,2,0,C,1958,0,0,0,C,1012,19,92.1,97.1,493,377,211,150,42.8,42.6,384,339,10.5,84,118,71.2,67.1,5.9,9.3,1.7,3.0,C,9,19.5,467.-491.
398,1055,JUDr. Marta Raábová,Okresný súd Košice II,2015,1,0,Cb,0,1183,0,0,Cb,928,64,105.5,97.1,430,377,247,150,57.4,42.6,411,339,11.5,47,92,51.1,64.9,7.9,8.8,3.9,3.0,Cb,3,14.5,639.-649.
399,1094,JUDr. Marta Rybárová,Okresný súd Trenčín,2015,0,0,P,0,0,1933,0,P,1016,95,110.0,97.1,217,377,107,150,49.3,42.6,287,339,15,99,132,75.0,67.3,6.8,7.6,1.7,2.5,P,10.5,25.5,194.-213.
400,1225,JUDr. Marta Šašinková,Mestský súd Bratislava II ,2015,2,2,Cb,2,1626,0,0,Cb,1045,78,99.5,97.1,432,377,155,150,35.9,42.6,278,339,14,71,108,65.7,64.9,6.5,8.8,2.2,3.0,Cb,7.5,21.5,367.-389.
401,40,JUDr. Martin Baločko,Mestský Súd Košice,2015,1,1,Trest,0,0,0,1449,Trest,1000,72,106.9,97.1,58,377,24,150,41.4,42.6,85,339,19.5,72,102,70.6,63.8,6.8,8.1,2.0,3.0,Trest,9,28.5,91.-106.
402,45,JUDr. Martin Baran,Okresný súd Prešov,2015,0,0,C,2139,0,0,0,C,964,22,93.1,97.1,558,377,210,150,37.6,42.6,378,339,11,196,244,80.3,67.1,12.8,9.3,2.5,3.0,C,12,23,304.-323.
403,473,JUDr. Martin Ivan,Okresný súd Komárno,2015,0,0,Trest,0,0,0,1438,Trest,949,76,98.5,97.1,110,377,39,150,35.5,42.6,154,339,16,89,109,81.7,63.8,8.7,8.1,1.6,3.0,Trest,12,28,107.-118.
404,584,JUDr. Martin Kolesár,Okresný súd Košice II,2015,3,2,C,1806,0,0,0,C,1094,17,88.1,97.1,725,377,227,150,31.3,42.6,373,339,11.5,78,126,61.9,67.1,7.7,9.3,2.9,3.0,C,6,17.5,542.-556.
405,585,JUDr. Martin Kollár,Okresný súd Zvolen,2015,0,0,Trest,0,0,0,1791,Trest,1076,83,103.9,97.1,133,377,70,150,52.6,42.6,122,339,16.5,114,247,46.2,63.8,12.8,8.1,6.9,3.0,Trest,1.5,18,525.-541.
