,id,judge,court,Vybavenosť,Reštančné z nevybavených,Kapacita vybavovať,Potvrdené rozhodnutia
469,1684,JUDr. Marek Bujňák,Okresný súd Prešov,5,3,0,8
470,301,JUDr. Marián Furman,Okresný súd Poprad,3,4,6,5
471,450,JUDr. Milan Husťák,Okresný súd Košice I,4,5,9,2
472,1331,JUDr. Renáta Topolčanská,Okresný súd Trenčín,2,5,5,6
473,762,JUDr. Roman Majerský,Okresný súd Pezinok,6,10,0,5
474,1296,JUDr. Zdenko Švárny,Okresný súd Michalovce,6,4,6,3
475,436,Mgr. Bohuš Hruška,Okresný súd Zvolen,6,5,7,2
476,216,Mgr. Erika Dodulíková,Okresný súd Čadca,3,6,8,3
477,2560,Mgr. Ľudmila Ostrolucká,Okresný súd Zvolen,5,5,5,4
478,1437,JUDr. Alica Vörösová,Okresný súd Dunajská Streda,5,3,4,5
479,102,JUDr. Beáta Bizoňová,Okresný súd Bratislava I,5,2,0,8
480,1156,JUDr. Dagmar Soliarová,Okresný súd Poprad,2,4,5,6
481,46,JUDr. Daniela Baranová,Okresný súd Prešov,10,2,1,4
482,1218,JUDr. Eva Šajmovičová,Okresný súd Bratislava V,6,5,5,3
483,1400,JUDr. Eva Vargová,Okresný súd Trebišov,5,3,4,5
484,201,JUDr. Ingrid Daxner,Okresný súd Pezinok,10,0,2,4
485,1166,JUDr. Ivan Spurný,Okresný súd Žiar nad Hronom,8,2,0,6
486,735,JUDr. Ján Lokša,Okresný súd Košice II,4,6,8,2
487,163,JUDr. Jana Coboriová,Okresný súd Nitra,5,5,6,3
488,926,JUDr. Jana Ocelková,Okresný súd Pezinok,10,1,3,3
489,757,JUDr. Janka Majerčíková,Okresný súd Ružomberok,3,5,5,5
490,720,JUDr. Juraj Lehotský,Okresný súd Zvolen,5,6,7,2
491,263,JUDr. Katarína Fakanová,Okresný súd Bratislava II ,5,4,2,6
492,1263,JUDr. Mária Špániková,Okresný súd Pezinok,10,1,3,3
493,1146,JUDr. Martin Smolko,Okresný súd Trnava,5,6,7,2
494,1186,JUDr. Martin Stretavský,Okresný súd Michalovce,3,10,10,0
495,3367,JUDr. Michal Drimák,Okresný súd Prešov,9,2,2,4
496,866,JUDr. Milan Mitterpák,Okresný súd Michalovce,9,4,7,0
497,1172,JUDr. Milan Staněk,Okresný súd Bratislava II ,7,3,2,5
498,2419,JUDr. Oľga Kováčová,Okresný súd Komárno,10,2,7,0
499,830,JUDr. Soňa Mihaľáková,Okresný súd Košice II,4,5,7,3
500,1112,JUDr. Stanislava Semanová,Okresný súd Spišská Nová Ves,4,4,6,4
501,925,JUDr. Viera Obermanová,Okresný súd Košice II,10,1,3,3
502,1384,JUDr. Vlastimil Valkovič,Okresný súd Topoľčany,3,0,9,4
503,896,Mgr. Jozef Nadzam,Okresný súd Trebišov,3,4,10,2
504,981,Mgr. Kamil Petrovič,Okresný súd Košice II,10,1,0,5
505,587,Mgr. Nina Kollárová,Okresný súd Poprad,9,2,2,4
506,1706,JUDr. Imrich Hlavička,Okresný súd Komárno,3,8,9,1
507,1348,JUDr. Ing. Erika Trtalová,Okresný súd Nové Mesto nad Váhom,5,3,2,6
508,2569,JUDr. Ján Šulgan,Okresný súd Veľký Krtíš,2,6,8,3
509,662,JUDr. Jana Krnáčová,Okresný súd Zvolen,5,4,3,5
510,520,JUDr. Katarína Jusková,Okresný súd Košice II,10,1,4,2
511,1375,JUDr. Katarína Vachulíková,Okresný súd Nové Zámky,3,7,8,2
512,996,JUDr. Ladislav Piros,Okresný súd Dunajská Streda,4,6,9,1
513,3372,JUDr. Lenka Saksunová,Okresný súd Košice II,1,4,4,7
514,104,JUDr. Mária Blahovská,Okresný súd Spišská Nová Ves,2,5,7,4
515,650,JUDr. Mária Krausová,Okresný súd Topoľčany,3,2,9,3
516,1318,JUDr. Miroslav Toma,Okresný súd Žiar nad Hronom,3,4,8,3
517,16,JUDr. Renáta Audová,Okresný súd Senica,4,6,9,1
518,74,JUDr. Roman Benedikovič,Okresný súd Bratislava V,2,9,8,2
519,253,JUDr. Stanislav Dutko,Okresný súd Bratislava I,3,4,8,3
520,1133,JUDr. Viera Sládečková,Okresný súd Bratislava III,7,3,3,4
521,361,Mgr. Andrea Hadnagyová,Okresný súd Piešťany,3,4,5,5
522,79,Mgr. Janka Benkovičová,Okresný súd Nitra,8,2,4,3
523,703,Mgr. Libor Kysucký,Okresný súd Považská Bystrica,4,7,7,2
524,1461,Mgr. Pamela Záleská,Okresný súd Nitra,3,5,9,2
525,935,JUDr. Dáša Onuferová,Okresný súd Bratislava III,6,4,3,4
526,1203,JUDr. Eduard Szabo,Okresný súd Partizánske,7,2,6,2
527,1152,JUDr. Gabriela Sobolovská,Okresný súd Bratislava II ,6,4,3,4
528,1453,JUDr. Iveta Willantová,Okresný súd Bratislava V,3,7,9,1
529,1004,JUDr. Katarína Podhorcová,Okresný súd Liptovský Mikuláš,3,7,6,3
530,585,JUDr. Martin Kollár,Okresný súd Zvolen,4,5,9,1
531,670,JUDr. Monika Kublová,Okresný súd Nitra,5,7,7,1
532,1276,JUDr. Patrik Števík,Okresný súd Bratislava II ,6,6,5,2
533,135,JUDr. Tatiana Buchvaldová,Okresný súd Bratislava III,7,5,6,1
534,1018,JUDr. Tatiana Porubänová,Okresný súd Trenčín,5,4,4,4
535,734,JUDr. Zuzana Lohnertová,Okresný súd Bratislava III,2,6,3,6
536,938,Mgr. Alexandra Osadská,Okresný súd Nitra,3,6,8,2
537,1251,Mgr. Katarína Škultétyová,Okresný súd Bratislava I,4,3,4,5
538,1314,Mgr. Silvia Tisová,Okresný súd Žilina,2,8,8,2
539,959,JUDr. Arpád Pastorek,Okresný súd Komárno,10,1,3,2
540,2479,JUDr. Emília Horňáková,Okresný súd Senica,5,6,7,1
541,321,JUDr. Jana Gargulová,Okresný súd Spišská Nová Ves,5,4,5,3
542,943,JUDr. Miriam Oswaldová,Okresný súd Bratislava IV,10,1,0,4
543,481,JUDr. Miroslav Jagnešák,Okresný súd Námestovo,5,3,4,4
544,266,JUDr. Roman Farkaš,Okresný súd Bratislava II ,4,6,8,1
545,287,JUDr. Roman Fitt,Okresný súd Bratislava III,3,4,7,3
546,2547,Mgr. Jana Janics Bajánková,Okresný súd Bratislava I,4,1,0,8
547,3345,Mgr. Martin Bauer,Okresný súd Martin,5,7,8,0
548,3,Mgr. Stella Al Khufash,Okresný súd Senica,6,4,7,1
549,1031,JUDr. Janka Pravotiaková,Okresný súd Košice I,5,6,5,2
550,303,JUDr. Ladislav Gábor,Okresný súd Košice I,5,5,4,3
551,463,JUDr. Lucia Chrapková,Okresný súd Piešťany,6,4,5,2
552,552,JUDr. Mária Képessyová,Okresný súd Dunajská Streda,4,5,8,1
553,529,JUDr. Marta Kamenská,Okresný súd Veľký Krtíš,4,4,4,4
554,1013,JUDr. Michal Polák,Okresný súd Košice II,3,6,7,2
555,1122,JUDr. Rastislav Sikorjak,Okresný súd Prešov,4,3,0,7
556,233,JUDr. Viera Dubovinská,Okresný súd Spišská Nová Ves,4,4,4,4
557,1163,JUDr. Vladimír Sopúch,Okresný súd Nitra,3,3,7,3
558,1682,Mgr. Boris Vittek,Okresný súd Trenčín,5,3,2,5
559,2558,Mgr. Dalibor Miľan,Okresný súd Zvolen,5,4,6,2
560,1289,Mgr. Miroslava Šúleková,Okresný súd Topoľčany,1,10,7,2
561,999,JUDr. Barbara Plaskurová,Okresný súd Nové Mesto nad Váhom,2,3,0,8
562,630,JUDr. Margita Kovaľová,Okresný súd Námestovo,3,5,4,4
563,71,JUDr. Monika Bellová,Okresný súd Senica,4,7,8,0
564,550,JUDr. Roland Kemény,Okresný súd Bratislava I,3,3,8,2
565,592,Mgr. Daniel Koneracký,Okresný súd Levice,1,4,5,5
566,524,JUDr. Dana Káčerová,Okresný súd Bratislava I,4,1,0,7
567,269,JUDr. Eva Farkašová,Okresný súd Prešov,3,4,4,4
568,826,JUDr. Janka Mičková,Okresný súd Košice II,10,1,3,1
569,323,JUDr. Katarína Gašparová,Okresný súd Bratislava II ,0,4,4,6
570,1055,JUDr. Marta Raábová,Okresný súd Košice II,8,3,1,3
571,915,JUDr. Tomáš Novák,Okresný súd Prešov,2,7,2,5
572,174,JUDr. Zdenko Čaniga,Okresný súd Pezinok,2,8,9,0
573,458,Mgr. Dušan Chamula,Okresný súd Žilina,10,1,0,3
574,1475,Mgr. Vladimír Zimányi,Okresný súd Piešťany,10,2,1,2
575,1431,JUDr. Andrea Vojteková Fejérová,Okresný súd Nové Mesto nad Váhom,3,3,1,6
576,1050,JUDr. Darina Puklušová,Okresný súd Spišská Nová Ves,3,4,5,3
577,196,JUDr. Ivana Dančová,Okresný súd Bratislava II ,7,2,2,3
578,809,JUDr. Jozef Medveď,Okresný súd Martin,1,6,3,5
579,2,JUDr. Ľubica Adamčíková,Okresný súd Košice okolie,3,6,4,3
580,596,JUDr. Martin Kopšo,Okresný súd Bratislava IV,4,7,4,2
581,132,JUDr. Dagmar Buchalová,Okresný súd Bratislava II ,7,3,4,1
582,239,JUDr. Helena Dudzíková,Okresný súd Topoľčany,2,9,6,1
583,620,JUDr. Ján Kováč,Okresný súd Nitra,8,3,3,1
584,1305,JUDr. Jana Tamašiová,Okresný súd Bratislava V,4,5,3,3
585,743,JUDr. Peter Lukáč,Okresný súd Žiar nad Hronom,3,7,0,5
586,180,JUDr. Valéria Černegová,Okresný súd Bratislava V,6,6,5,0
587,1323,JUDr. Zdenka Tomašková,Okresný súd Bardejov,3,6,8,0
588,818,Mgr. Denisa Mesárošová,Okresný súd Nitra,8,2,2,2
589,2562,Mgr. Gabriela Repková,Okresný súd Považská Bystrica,1,2,6,4
590,3215,Mgr. Ing. Ladislav Burda,Okresný súd Trebišov,5,6,0,4
591,1171,Mgr. Ján Stanček,Okresný súd Pezinok,6,3,2,3
592,1593,Mgr. Monika Czafiková,Okresný súd Komárno,0,3,5,5
593,922,Mgr. Rudolf Novotný,Okresný súd Dunajská Streda,4,4,8,0
594,779,JUDr. Alžbeta Marková,Okresný súd Bratislava IV,0,0,0,9
595,1327,JUDr. Gabriela Tomvčovčíková Šandalová,Okresný súd Košice II,1,10,0,5
596,1080,JUDr. Ivan Roháč,Okresný súd Humenné,3,3,9,0
597,1093,JUDr. Ján Rybárik,Okresný súd Žilina,10,1,3,0
598,574,JUDr. Judita Knociková,Okresný súd Trenčín,7,1,0,4
599,1436,JUDr. Katarína Vorobelová,Okresný súd Prešov,0,6,0,7
600,671,JUDr. Mária Kubusová,Okresný súd Poprad,10,1,3,0
601,101,JUDr. Oľga Bitalová,Okresný súd Stará Ľubovňa,2,6,1,5
602,223,JUDr. Zuzana Doricová,Okresný súd Bratislava I,4,1,0,6
603,395,JUDr. Andrea Havírová,Okresný súd Vranov nad Topľou,4,4,7,0
604,192,JUDr. Eliška Čonková,Okresný súd Trebišov,3,5,6,1
605,2447,JUDr. Peter Koman,Okresný súd Poprad,8,6,2,0
606,1024,Mgr. Raul Pospíšil,Okresný súd Bratislava II ,6,2,0,4
607,1335,JUDr. Július Tóth,Okresný súd Košice I,4,5,3,2
608,502,JUDr. Milina Jánošková,Okresný súd Trenčín,6,2,1,3
609,1320,JUDr. Nadežda Tomanicová,Okresný súd Bratislava IV,2,6,3,3
610,362,JUDr. Viera Hadrbulcová,Okresný súd Bratislava I,3,1,0,6
611,221,JUDr. Vladimír Donič,Okresný súd Humenné,7,2,0,3
612,963,Mgr. Gizela Pavelová,Okresný súd Košice I,2,8,5,1
613,268,JUDr. Dana Farkášová,Okresný súd Prešov,0,3,0,7
614,139,JUDr. Gabriela Buľubašová,Okresný súd Bratislava I,4,4,0,4
615,628,JUDr. Jana Kovalčíková,Okresný súd Zvolen,5,4,5,0
616,534,JUDr. Jaroslav Kanderka,Okresný súd Prešov,3,4,1,4
617,2554,JUDr. Martina Líšková,Okresný súd Bratislava I,4,1,0,5
618,1053,JUDr. Iveta Puškášová,Okresný súd Košice okolie,4,4,4,1
619,930,JUDr. Katarína Ondrejáková,Okresný súd Malacky,10,0,0,1
620,1321,JUDr. Pavol Tomáš,Okresný súd Banská Bystrica,1,3,6,2
621,3207,JUDr. Zuzana Hlistová,Okresný súd Bratislava I,5,1,0,4
622,1786,Mgr. Anna Holeščáková,Okresný súd Čadca,4,4,1,3
623,1355,JUDr. Eva Tulejová,Okresný súd Bratislava I,3,1,0,5
624,218,JUDr. Otília Doláková,Okresný súd Bratislava I,6,1,0,3
625,711,JUDr. Viera Lamprechtová,Okresný súd Bratislava III,4,2,0,4
626,681,JUDr. Viera Kumová,Okresný súd Trenčín,7,1,0,2
627,852,Mgr. Vanda Mikulášová,Okresný súd Námestovo,4,3,5,0
628,52,JUDr. Marta Barková,Okresný súd Bratislava I,2,4,0,4
629,109,Mgr. Ivica Blecharžová,Okresný súd Bratislava V,3,5,0,3
630,434,JUDr. Andrea Hrneková,Okresný súd Bratislava I,3,4,0,3
631,964,JUDr. Edita Pavková,Okresný súd Trebišov,4,4,2,1
632,425,JUDr. Ivona Hrčeková,Okresný súd Bratislava I,2,3,0,4
633,595,JUDr. Martin Kopina,Okresný súd Vranov nad Topľou,0,1,0,6
634,2567,JUDr. Dušan Špirek,Okresný súd Nitra,0,7,1,3
635,685,JUDr. Marián Kurinec,Okresný súd Bratislava III,8,2,0,0
636,320,JUDr. Slávka Garančovská,Okresný súd Košice I,2,4,2,2
637,1325,JUDr. Štefan Tomašovský,Okresný súd Prešov,3,6,3,0
638,1667,Mgr. Lýdia Stehurová,Okresný súd Čadca,4,4,0,2
639,3334,JUDr. Mariana Gavalierová,Okresný súd Poprad,4,3,0,2
640,884,JUDr. Zuzana Moťovská Dobošová,Okresný súd Bratislava I,2,4,0,3
641,3389,JUDr. Magdaléna Bošková,Okresný súd Bratislava I,0,0,0,5
642,1324,Mgr. Andrea Tomašovičová,Okresný súd Trnava,0,0,0,5
643,356,JUDr. Radovan Groman,Okresný súd Bratislava I,2,4,0,2
644,881,JUDr. Anna Moravová,Okresný súd Bratislava III,1,2,0,3
645,2413,JUDr. Milan Antal,Okresný súd Žiar nad Hronom,0,5,1,2
646,147,JUDr. Agáta Burkušová,Okresný súd Košice II,0,2,0,3
647,143,JUDr. Richard Bureš,Okresný súd Poprad,0,2,0,3
648,260,JUDr. Jozef Engel,Okresný súd Humenné,0,4,0,2
649,2423,JUDr. René Milták,Okresný súd Bratislava I,3,1,0,0
650,1070,JUDr. Miriam Repáková,Okresný súd Bratislava I,0,3,0,1
651,1274,JUDr. Jana Štepániková,Okresný súd Bratislava II ,0,2,0,0
