court	year	agenda	value_1	value_2	value_3	value_4	value_5
Okresný súd Považská Bystrica	2011	Rob	6083	5992	NULL	5983	1100
Okresný súd Považská Bystrica	2011	T	382	411	6	393	125
Okresný súd Považská Bystrica	2011	Tcud	500	400	NULL	400	100
Okresný súd Považská Bystrica	2011	Td	150	150	NULL	150	0
Okresný súd Považská Bystrica	2011	Tp	764	741	NULL	764	18
Okresný súd Prievidza	2011	C	315	325	388	315	196
Okresný súd Prievidza	2011	Cb	322	337	518	329	220
Okresný súd Prievidza	2011	Cbcud	900	700	NULL	700	200
Okresný súd Prievidza	2011	Cbd	200	200	NULL	200	0
Okresný súd Prievidza	2011	Ccud	1336	1482	NULL	1482	245
Okresný súd Prievidza	2011	Cd	173	200	NULL	200	27
Okresný súd Prievidza	2011	Cpr	24	5	5	2	22
Okresný súd Prievidza	2011	D	5553	5703	3	5600	3432
Okresný súd Prievidza	2011	Dcud	600	800	NULL	800	0
Okresný súd Prievidza	2011	Ecud	367	367	NULL	367	133
Okresný súd Prievidza	2011	Em	217	83	NULL	117	517
Okresný súd Prievidza	2011	Er	213717	214217	17	214717	12150
Okresný súd Prievidza	2011	Ercud	1133	867	NULL	867	300
Okresný súd Prievidza	2011	Erd	100	133	NULL	133	33
Okresný súd Prievidza	2011	Nt	533	558	NULL	567	192
Okresný súd Prievidza	2011	P	485	402	491	393	233
Okresný súd Prievidza	2011	Pcud	1200	1200	100	1200	700
Okresný súd Prievidza	2011	Pd	2300	2100	NULL	2100	500
Okresný súd Prievidza	2011	Po	640	720	NULL	720	160
Okresný súd Prievidza	2011	PPOm	233	217	NULL	267	17
Okresný súd Prievidza	2011	Ps	375	300	280	290	175
Okresný súd Prievidza	2011	Pu	500	460	NULL	460	120
Okresný súd Prievidza	2011	Ro	39718	33136	NULL	30855	20400
Okresný súd Prievidza	2011	Rob	8338	8313	NULL	8625	1713
Okresný súd Prievidza	2011	S	55	45	NULL	45	9
Okresný súd Prievidza	2011	T	278	290	NULL	291	140
Okresný súd Prievidza	2011	Tcud	133	233	NULL	233	0
Okresný súd Prievidza	2011	Td	267	400	NULL	400	0
Okresný súd Prievidza	2011	Tp	3142	3175	NULL	3175	25
Okresný súd Prievidza	2011	U	2130	130	NULL	130	2930
Okresný súd Prievidza	2011	UL	25	0	NULL	0	25
Krajský súd Nitra	2011	C	200	0	NULL	200	0
Krajský súd Nitra	2011	Cb	0	140	260	180	560
Krajský súd Nitra	2011	Co	179	0	26	180	31
Krajský súd Nitra	2011	Cob	229	0	87	229	23
Krajský súd Nitra	2011	CoD	160	0	NULL	159	7
Krajský súd Nitra	2011	CoE	196	0	NULL	203	17
Krajský súd Nitra	2011	CoKR	220	0	60	200	40
Krajský súd Nitra	2011	CoP	173	0	27	182	4
Krajský súd Nitra	2011	CoPom	100	0	NULL	100	0
Krajský súd Nitra	2011	CoZm	200	0	NULL	200	17
Krajský súd Nitra	2011	Ncb	229	0	NULL	214	14
Krajský súd Nitra	2011	NcC	179	0	NULL	178	8
Krajský súd Nitra	2011	NcCb	200	0	NULL	300	0
Krajský súd Nitra	2011	Ntc	90	0	NULL	80	23
Krajský súd Nitra	2011	Nto	121	0	NULL	118	3
Krajský súd Nitra	2011	Ntok	75	0	NULL	100	0
Krajský súd Nitra	2011	Ntro	100	0	NULL	100	0
Krajský súd Nitra	2011	Ntt	83	0	NULL	83	0
Krajský súd Nitra	2011	S	333	286	214	204	404
Krajský súd Nitra	2011	Sd	310	298	309	297	94
Krajský súd Nitra	2011	So	150	0	NULL	150	0
Krajský súd Nitra	2011	Sp	287	333	350	300	147
Krajský súd Nitra	2011	T	0	100	NULL	60	360
Krajský súd Nitra	2011	To	108	0	NULL	114	14
Krajský súd Nitra	2011	Tos	111	0	NULL	113	0
Krajský súd Nitra	2011	Tpo	112	0	NULL	112	2
Okresný súd Nitra	2011	C	1497	1728	3575	1617	1130
Okresný súd Nitra	2011	Cb	1196	1526	2698	1428	1121
Okresný súd Nitra	2011	Cbi	8300	3000	14200	2700	5600
Okresný súd Nitra	2011	CbR	1397	1409	12	1409	1506
Okresný súd Nitra	2011	CbZm	4100	2300	6700	2300	5700
Okresný súd Nitra	2011	Ccud	1700	1829	NULL	1829	186
Okresný súd Nitra	2011	Cd	2067	2000	NULL	2000	600
Okresný súd Nitra	2011	D	1180	1247	NULL	1269	643
Okresný súd Nitra	2011	Dcud	500	500	NULL	500	100
Okresný súd Nitra	2011	Dd	1289	1122	NULL	1122	489
Okresný súd Nitra	2011	Er	1974	2012	2	2012	77
Okresný súd Nitra	2011	Exre	1232	1385	NULL	1385	410
Okresný súd Nitra	2011	K	655	590	375	590	95
Okresný súd Nitra	2011	Nt	347	359	NULL	359	112
Okresný súd Nitra	2011	Ntt	249	252	NULL	252	4
Okresný súd Nitra	2011	P	2495	2181	3114	2055	1443
Okresný súd Nitra	2011	Pcud	900	1100	NULL	1100	0
Okresný súd Nitra	2011	Pd	2200	2367	133	2367	67
Okresný súd Nitra	2011	Po	1100	1100	NULL	1100	300
Okresný súd Nitra	2011	Pp	407	401	NULL	401	61
Okresný súd Nitra	2011	Ps	2000	2000	2200	2000	1125
Okresný súd Nitra	2011	Pu	967	967	33	933	467
Okresný súd Nitra	2011	R	500	500	NULL	500	0
Okresný súd Nitra	2011	Ro	1822	1730	2	1704	950
Okresný súd Nitra	2011	Rob	2342	2288	1	2670	1142
Okresný súd Nitra	2011	T	287	354	NULL	324	156
Okresný súd Nitra	2011	Tcud	375	350	NULL	350	275
Okresný súd Nitra	2011	Td	214	200	NULL	200	71
Okresný súd Nitra	2011	Tp	335	334	NULL	334	4
Okresný súd Nitra	2011	U	158	1908	NULL	1908	3283
Okresný súd Nitra	2011	Zm	2275	2125	50	1850	2213
Okresný súd Komárno	2011	C	500	499	613	409	351
Okresný súd Komárno	2011	Cb	328	446	681	464	169
Okresný súd Komárno	2011	Cbcud	1300	1600	NULL	1600	400
Okresný súd Komárno	2011	Cbd	500	500	200	500	0
Okresný súd Komárno	2011	Ccud	4100	4000	NULL	4000	400
Okresný súd Komárno	2011	Cd	1400	1500	NULL	1500	600
Okresný súd Komárno	2011	Cpr	200	40	50	10	190
Okresný súd Komárno	2011	D	3202	3206	NULL	3102	1684
Okresný súd Komárno	2011	Dcud	100	200	NULL	200	0
Okresný súd Komárno	2011	Dd	200	200	NULL	200	0
Okresný súd Komárno	2011	Ecud	500	300	NULL	300	200
Okresný súd Komárno	2011	Em	450	800	NULL	600	800
Okresný súd Komárno	2011	Er	41970	40540	NULL	40540	4155
Okresný súd Komárno	2011	Nt	235	296	NULL	296	173
Okresný súd Komárno	2011	P	450	400	513	380	192
Okresný súd Komárno	2011	Pcud	200	600	NULL	600	100
Okresný súd Komárno	2011	Pd	1100	1300	NULL	1300	100
Okresný súd Komárno	2011	Po	10900	11400	NULL	11400	2200
Okresný súd Komárno	2011	PPOm	800	900	NULL	900	100
Okresný súd Komárno	2011	Ps	480	370	460	370	320
Okresný súd Komárno	2011	Ro	8250	7518	NULL	7592	3424
Okresný súd Komárno	2011	Rob	5689	6000	NULL	6194	1950
Okresný súd Komárno	2011	S	60	50	20	50	10
Okresný súd Komárno	2011	T	189	224	4	197	132
Okresný súd Komárno	2011	Tcud	600	600	NULL	600	200
Okresný súd Komárno	2011	Td	100	0	NULL	0	600
Okresný súd Komárno	2011	Tp	586	565	NULL	565	63
Okresný súd Komárno	2011	U	500	500	NULL	500	11500
Okresný súd Levice	2011	C	5831	5588	7919	5381	5392
Okresný súd Levice	2011	Cb	663	788	1283	875	788
Okresný súd Levice	2011	Cbcud	5	8	NULL	8	0
Okresný súd Levice	2011	Cbd	8	10	NULL	10	0
Okresný súd Levice	2011	Ccud	392	400	28	400	120
Okresný súd Levice	2011	Cd	120	120	NULL	120	12
Okresný súd Levice	2011	Cpr	16	0	NULL	0	16
Okresný súd Levice	2011	D	8083	8243	NULL	8161	4083
Okresný súd Levice	2011	Dcud	65	52	NULL	52	26
Okresný súd Levice	2011	Dd	996	983	NULL	983	83
Okresný súd Levice	2011	Ecud	12	6	NULL	6	0
Okresný súd Levice	2011	Ed	6	12	NULL	12	0
Okresný súd Levice	2011	Em	25	23	NULL	23	0
Okresný súd Levice	2011	Er	41704	41093	NULL	41093	2274
Okresný súd Levice	2011	ErCud	0	4	NULL	0	0
Okresný súd Levice	2011	Erd	26	15	NULL	0	15
Okresný súd Levice	2011	Nt	408	200	NULL	418	39
Okresný súd Levice	2011	P	3476	3100	4203	3110	1817
Okresný súd Levice	2011	Pcud	24	21	NULL	21	7
Okresný súd Levice	2011	Pd	203	214	NULL	214	31
Okresný súd Levice	2011	Po	114	117	NULL	117	31
Okresný súd Levice	2011	Pp	316	171	11	313	56
Okresný súd Levice	2011	PPOm	27	24	NULL	24	6
Okresný súd Levice	2011	Ps	103	138	145	138	59
Okresný súd Levice	2011	Pu	121	121	NULL	110	14
Okresný súd Levice	2011	Ro	13332	12700	NULL	12440	4420
Okresný súd Levice	2011	Rob	1943	1795	NULL	1868	433
Okresný súd Levice	2011	S	12	12	8	12	8
Okresný súd Levice	2011	T	1596	1562	38	1568	428
Okresný súd Levice	2011	Tcud	12	12	NULL	12	4
Okresný súd Levice	2011	Td	78	92	NULL	92	4
Okresný súd Levice	2011	Tp	500	255	NULL	494	53
Okresný súd Levice	2011	U	1208	875	NULL	875	1825
Okresný súd Nové Zámky	2011	C	498	540	909	546	300
Okresný súd Nové Zámky	2011	Cb	363	384	421	368	136
Okresný súd Nové Zámky	2011	Cbcud	50	0	NULL	50	0
Okresný súd Nové Zámky	2011	Ccud	5800	0	NULL	7250	2000
Okresný súd Nové Zámky	2011	Cd	550	0	33	467	233
Okresný súd Nové Zámky	2011	Cpr	35	15	20	5	30
Okresný súd Nové Zámky	2011	D	2543	1983	NULL	2682	1494
Okresný súd Nové Zámky	2011	Dcud	200	0	NULL	150	50
Okresný súd Nové Zámky	2011	Dd	243	0	NULL	129	471
Okresný súd Nové Zámky	2011	Ecud	50	0	NULL	50	0
Okresný súd Nové Zámky	2011	Ed	100	0	NULL	150	100
Okresný súd Nové Zámky	2011	Em	100	140	100	140	60
Okresný súd Nové Zámky	2011	Er	17602	16693	5	16696	1973
Okresný súd Nové Zámky	2011	Erd	133	0	NULL	50	67
Okresný súd Nové Zámky	2011	Nt	149	126	NULL	146	49
Okresný súd Nové Zámky	2011	P	301	222	347	243	110
Okresný súd Nové Zámky	2011	Pcud	40	0	NULL	40	0
Okresný súd Nové Zámky	2011	Pd	200	0	120	200	20
Okresný súd Nové Zámky	2011	Po	370	440	NULL	440	120
Okresný súd Nové Zámky	2011	PPOm	290	260	470	290	70
Okresný súd Nové Zámky	2011	Ps	820	720	750	890	180
Okresný súd Nové Zámky	2011	Ro	4	4928	1	5229	3974
Okresný súd Nové Zámky	2011	Rob	21	3353	NULL	5032	1289
Okresný súd Nové Zámky	2011	S	150	100	NULL	150	0
Okresný súd Nové Zámky	2011	T	332	364	9	324	87
Okresný súd Nové Zámky	2011	Tcud	267	0	NULL	267	0
Okresný súd Nové Zámky	2011	Td	33	0	NULL	50	0
Okresný súd Nové Zámky	2011	Tp	873	873	NULL	868	5
Okresný súd Nové Zámky	2011	U	650	250	NULL	800	13450
Okresný súd Topoľčany	2011	C	408	451	737	455	172
Okresný súd Topoľčany	2011	Cb	303	337	571	362	163
Okresný súd Topoľčany	2011	Cbcud	40	40	NULL	40	0
Okresný súd Topoľčany	2011	Cbd	20	10	NULL	10	10
Okresný súd Topoľčany	2011	Ccud	500	436	NULL	436	100
Okresný súd Topoľčany	2011	Cd	100	110	NULL	110	10
Okresný súd Topoľčany	2011	Cpr	125	13	100	0	125
Okresný súd Topoľčany	2011	D	2302	2440	NULL	2406	856
Okresný súd Topoľčany	2011	Dcud	10	10	NULL	10	0
Okresný súd Topoľčany	2011	Dd	10	0	NULL	0	10
Okresný súd Topoľčany	2011	Em	25	30	10	25	25
Okresný súd Topoľčany	2011	Er	11664	12012	NULL	12012	334
Okresný súd Topoľčany	2011	Nt	338	375	38	375	63
Okresný súd Topoľčany	2011	P	542	525	837	494	211
Okresný súd Topoľčany	2011	Pd	110	110	NULL	110	10
Okresný súd Topoľčany	2011	Po	10	10	NULL	10	0
Okresný súd Topoľčany	2011	PPOm	67	67	NULL	67	0
Okresný súd Topoľčany	2011	Ps	263	250	463	250	131
Okresný súd Topoľčany	2011	Ro	4304	3958	NULL	3904	1410
Okresný súd Topoľčany	2011	Rob	1090	1046	NULL	1112	192
Okresný súd Topoľčany	2011	S	15	20	NULL	20	0
Okresný súd Topoľčany	2011	T	355	370	75	352	170
Okresný súd Topoľčany	2011	Tcud	17	33	NULL	33	0
Okresný súd Topoľčany	2011	Td	0	20	NULL	20	0
Okresný súd Topoľčany	2011	Tp	645	645	NULL	645	0
Okresný súd Topoľčany	2011	U	90	110	NULL	110	70
Krajský súd Žilina	2011	Co	264	NULL	12	253	63
Krajský súd Žilina	2011	Cob	211	NULL	10	192	89
Krajský súd Žilina	2011	CoD	254	NULL	NULL	238	45
Krajský súd Žilina	2011	CoE	221	NULL	0	216	16
Krajský súd Žilina	2011	CoKR	263	NULL	13	313	63
Krajský súd Žilina	2011	CoP	262	NULL	12	267	22
Krajský súd Žilina	2011	CoZm	186	NULL	NULL	143	71
Krajský súd Žilina	2011	Ncb	227	NULL	NULL	213	13
Krajský súd Žilina	2011	NcC	261	NULL	NULL	281	23
Krajský súd Žilina	2011	Ntc	125	NULL	NULL	120	10
Krajský súd Žilina	2011	Nto	121	NULL	NULL	132	0
Krajský súd Žilina	2011	Ntro	100	NULL	NULL	100	0
Krajský súd Žilina	2011	Ntt	127	NULL	NULL	127	0
Krajský súd Žilina	2011	S	195	116	42	100	182
Krajský súd Žilina	2011	Sd	245	251	176	243	85
Krajský súd Žilina	2011	Sn	160	180	20	280	60
Krajský súd Žilina	2011	Sp	166	180	90	226	104
Krajský súd Žilina	2011	To	115	NULL	60	121	15
Krajský súd Žilina	2011	Tos	120	NULL	46	122	3
Krajský súd Žilina	2011	Tpo	118	NULL	NULL	119	0
Okresný súd Žilina	2011	C	386	417	535	383	443
Okresný súd Žilina	2011	Cb	262	305	337	311	334
Okresný súd Žilina	2011	Cbi	325	168	268	140	660
Okresný súd Žilina	2011	CbR	831	1084	1	1008	660
Okresný súd Žilina	2011	CbZm	325	344	331	150	438
Okresný súd Žilina	2011	Cpr	275	13	NULL	13	263
Okresný súd Žilina	2011	D	657	719	NULL	712	546
Okresný súd Žilina	2011	Em	1600	667	NULL	633	967
Okresný súd Žilina	2011	Er	12044	11513	1	11513	1479
Okresný súd Žilina	2011	Exre	806	817	NULL	798	132
Okresný súd Žilina	2011	K	800	742	116	768	247
Okresný súd Žilina	2011	NcKR	2800	500	300	500	4800
Okresný súd Žilina	2011	Nt	250	233	NULL	224	386
Okresný súd Žilina	2011	Ntt	266	251	NULL	251	0
Okresný súd Žilina	2011	P	742	672	653	622	512
Okresný súd Žilina	2011	Pp	271	279	NULL	287	34
Okresný súd Žilina	2011	Ps	583	683	442	492	342
Okresný súd Žilina	2011	R	1100	1100	100	1000	300
Okresný súd Žilina	2011	S	650	500	50	450	250
Okresný súd Žilina	2011	T	276	338	0	292	149
Okresný súd Žilina	2011	Tp	308	308	NULL	308	0
Okresný súd Žilina	2011	U	2350	5900	NULL	6400	20550
Okresný súd Čadca	2011	C	837	886	1006	719	728
Okresný súd Čadca	2011	Cb	819	935	1212	869	808
Okresný súd Čadca	2011	D	1187	1270	2	1254	638
Okresný súd Čadca	2011	Er	1519	550	NULL	1429	193
Okresný súd Čadca	2011	Nt	208	146	8	208	162
Okresný súd Čadca	2011	P	1498	1223	1411	1225	768
Okresný súd Čadca	2011	PPOm	1100	1100	NULL	900	200
Okresný súd Čadca	2011	Ps	525	500	350	525	350
Okresný súd Čadca	2011	T	215	256	22	210	145
Okresný súd Čadca	2011	Tp	228	158	NULL	226	9
Okresný súd Dolný Kubín	2011	C	184	193	259	184	128
Okresný súd Dolný Kubín	2011	Cb	168	191	147	186	117
Okresný súd Dolný Kubín	2011	Cpr	167	133	33	100	67
Okresný súd Dolný Kubín	2011	Nt	103	119	3	109	19
Okresný súd Dolný Kubín	2011	P	209	176	192	160	95
Okresný súd Dolný Kubín	2011	PPOm	200	200	NULL	200	0
Okresný súd Dolný Kubín	2011	Ps	222	111	78	89	156
Okresný súd Dolný Kubín	2011	T	146	182	20	140	85
Okresný súd Dolný Kubín	2011	Tp	2567	2567	NULL	2567	0
Okresný súd Liptovský Mikuláš	2011	C	468	473	637	456	315
Okresný súd Liptovský Mikuláš	2011	Cb	486	482	568	482	361
Okresný súd Liptovský Mikuláš	2011	Er	10643	10457	NULL	10457	959
Okresný súd Liptovský Mikuláš	2011	Nt	244	163	NULL	163	230
Okresný súd Liptovský Mikuláš	2011	P	573	538	564	495	193
Okresný súd Liptovský Mikuláš	2011	Ps	583	517	567	517	200
Okresný súd Liptovský Mikuláš	2011	Pu	447	465	NULL	459	35
Okresný súd Liptovský Mikuláš	2011	Ro	16500	15833	11	16278	3356
Okresný súd Liptovský Mikuláš	2011	Rob	9611	9756	33	9578	1756
Okresný súd Liptovský Mikuláš	2011	T	248	284	4	239	179
Okresný súd Liptovský Mikuláš	2011	Tp	318	318	NULL	318	0
Okresný súd Martin	2011	C	950	1091	1613	991	664
Okresný súd Martin	2011	Cb	3864	4836	5350	4121	3250
Okresný súd Martin	2011	Cbcud	57	79	NULL	79	0
Okresný súd Martin	2011	Cbd	21	29	NULL	29	0
Okresný súd Martin	2011	Ccud	47	48	NULL	48	8
Okresný súd Martin	2011	Cd	21	22	NULL	22	10
Okresný súd Martin	2011	Cpr	3	1	2	1	2
Okresný súd Martin	2011	D	9593	10100	NULL	10086	5529
Okresný súd Martin	2011	Dcud	14	14	NULL	14	0
Okresný súd Martin	2011	Dd	43	43	NULL	43	0
Okresný súd Martin	2011	Ecud	11	5	NULL	5	8
Okresný súd Martin	2011	Em	37	24	39	21	50
Okresný súd Martin	2011	Er	73643	71143	NULL	71143	9914
Okresný súd Martin	2011	Nt	555	542	2	542	202
Okresný súd Martin	2011	P	2448	2007	2990	1907	1726
Okresný súd Martin	2011	Pcud	67	52	NULL	52	24
Okresný súd Martin	2011	Pd	105	100	NULL	100	7
Okresný súd Martin	2011	Po	26	26	NULL	26	48
Okresný súd Martin	2011	Pp	1635	1611	27	1611	124
Okresný súd Martin	2011	PPOm	6	6	NULL	6	0
Okresný súd Martin	2011	Ps	74	79	74	67	45
Okresný súd Martin	2011	Pu	79	79	NULL	119	12
Okresný súd Martin	2011	S	21	29	7	29	0
Okresný súd Martin	2011	T	1287	1577	76	1258	842
Okresný súd Martin	2011	Tcud	6	5	NULL	5	2
Okresný súd Martin	2011	Td	39	47	NULL	47	3
Okresný súd Martin	2011	Tp	526	526	NULL	526	0
Okresný súd Martin	2011	U	1429	1021	NULL	1021	557
Okresný súd Námestovo	2011	C	1381	2002	3481	2013	1649
Okresný súd Námestovo	2011	Cb	988	1065	1985	827	1246
Okresný súd Námestovo	2011	Cbcud	11	14	NULL	14	0
Okresný súd Námestovo	2011	Cbd	7	7	NULL	7	0
Okresný súd Námestovo	2011	Ccud	238	271	NULL	271	10
Okresný súd Námestovo	2011	Cd	29	29	NULL	29	0
Okresný súd Námestovo	2011	Cpr	10	0	NULL	0	10
Okresný súd Námestovo	2011	D	3461	4187	NULL	4222	2752
Okresný súd Námestovo	2011	Dcud	9	4	NULL	4	4
Okresný súd Námestovo	2011	Dd	4	17	NULL	17	91
Okresný súd Námestovo	2011	Em	63	63	13	75	44
Okresný súd Námestovo	2011	Er	7477	7468	NULL	7468	70
Okresný súd Námestovo	2011	Nt	76	83	7	83	38
Okresný súd Námestovo	2011	P	1846	1795	1431	1779	595
Okresný súd Námestovo	2011	Pcud	19	25	NULL	25	0
Okresný súd Námestovo	2011	Pd	25	25	NULL	25	0
Okresný súd Námestovo	2011	Po	38	50	NULL	50	0
Okresný súd Námestovo	2011	PPOm	0	0	6	6	0
Okresný súd Námestovo	2011	Ps	106	125	250	113	75
Okresný súd Námestovo	2011	Pu	88	88	NULL	94	6
Okresný súd Námestovo	2011	Ro	3276	3693	NULL	3803	810
Okresný súd Námestovo	2011	Rob	1753	1579	NULL	1474	491
Okresný súd Námestovo	2011	S	3	3	NULL	3	0
Okresný súd Námestovo	2011	T	1024	1269	3197	1162	545
Okresný súd Námestovo	2011	Tcud	14	14	NULL	14	0
Okresný súd Námestovo	2011	Tp	316	316	NULL	314	2
Okresný súd Námestovo	2011	U	17	178	NULL	178	991
Okresný súd Ružomberok	2011	C	934	977	1285	983	461
Okresný súd Ružomberok	2011	Cb	766	779	986	776	428
Okresný súd Ružomberok	2011	Cbcud	1000	2500	NULL	2500	0
Okresný súd Ružomberok	2011	Ccud	657	671	NULL	671	71
Okresný súd Ružomberok	2011	Cpr	1000	667	333	333	667
Okresný súd Ružomberok	2011	D	1500	1625	NULL	1556	1134
Okresný súd Ružomberok	2011	Dcud	100	300	NULL	300	0
Okresný súd Ružomberok	2011	Em	700	400	NULL	500	600
Okresný súd Ružomberok	2011	Er	1488	1435	NULL	1435	84
Okresný súd Ružomberok	2011	Nt	405	376	54	376	51
Okresný súd Ružomberok	2011	P	849	795	753	743	265
Okresný súd Ružomberok	2011	Pcud	525	375	NULL	500	50
Okresný súd Ružomberok	2011	Pp	419	437	60	437	28
Okresný súd Ružomberok	2011	PPOm	800	100	NULL	800	0
Okresný súd Ružomberok	2011	Ps	850	300	850	900	450
Okresný súd Ružomberok	2011	Pu	640	640	20	720	20
Okresný súd Ružomberok	2011	S	1000	1000	NULL	1000	0
Okresný súd Ružomberok	2011	T	392	412	98	420	107
Okresný súd Ružomberok	2011	Tcud	500	500	NULL	500	0
Okresný súd Ružomberok	2011	Tp	306	306	NULL	306	0
Okresný súd Ružomberok	2011	U	2000	40333	NULL	40333	2333
Krajský súd Banská Bystrica	2011	Cb	250	650	1250	1150	3850
Krajský súd Banská Bystrica	2011	Cbi	190	250	243	260	460
Krajský súd Banská Bystrica	2011	Co	277	0	12	266	48
Krajský súd Banská Bystrica	2011	Cob	230	0	8	229	57
Krajský súd Banská Bystrica	2011	CoD	275	0	NULL	240	45
Krajský súd Banská Bystrica	2011	CoE	232	0	0	232	27
Krajský súd Banská Bystrica	2011	CoKR	98	0	5	88	20
Krajský súd Banská Bystrica	2011	CoP	250	0	11	252	24
Krajský súd Banská Bystrica	2011	CoPom	5500	0	NULL	5500	0
Krajský súd Banská Bystrica	2011	CoPr	240	0	NULL	160	80
Krajský súd Banská Bystrica	2011	CoZm	218	0	9	173	64
Krajský súd Banská Bystrica	2011	Ncb	248	0	NULL	252	5
Krajský súd Banská Bystrica	2011	NcC	279	0	NULL	281	6
Krajský súd Banská Bystrica	2011	NcCb	200	0	NULL	250	50
Krajský súd Banská Bystrica	2011	NcS	100	0	NULL	100	0
Krajský súd Banská Bystrica	2011	Ntc	133	0	NULL	143	29
Krajský súd Banská Bystrica	2011	Nto	153	0	NULL	160	0
Krajský súd Banská Bystrica	2011	Ntok	200	0	NULL	400	400
Krajský súd Banská Bystrica	2011	Ntt	194	0	NULL	194	0
Krajský súd Banská Bystrica	2011	S	205	168	114	175	190
Krajský súd Banská Bystrica	2011	Scud	233	267	267	533	300
Krajský súd Banská Bystrica	2011	Sd	393	381	321	384	176
Krajský súd Banská Bystrica	2011	So	200	0	50	200	50
Krajský súd Banská Bystrica	2011	Sp	200	200	188	328	160
Krajský súd Banská Bystrica	2011	T	250	1250	NULL	1750	2750
Krajský súd Banská Bystrica	2011	To	146	0	15	144	33
Krajský súd Banská Bystrica	2011	Tos	145	0	23	143	5
Krajský súd Banská Bystrica	2011	Tpo	144	0	1	145	2
Okresný súd Banská Bystrica	2011	C	266	266	389	254	188
Okresný súd Banská Bystrica	2011	Cb	252	269	359	279	205
Okresný súd Banská Bystrica	2011	Cbi	284	257	421	209	361
Okresný súd Banská Bystrica	2011	CbPv	267	278	689	244	556
Okresný súd Banská Bystrica	2011	CbR	433	527	268	465	707
Okresný súd Banská Bystrica	2011	CbZm	231	223	392	169	300
Okresný súd Banská Bystrica	2011	Cpr	286	43	29	14	271
Okresný súd Banská Bystrica	2011	D	1766	1801	NULL	1821	661
Okresný súd Banská Bystrica	2011	Em	650	500	NULL	450	550
Okresný súd Banská Bystrica	2011	Er	7151	7251	NULL	7251	94
Okresný súd Banská Bystrica	2011	Exre	678	678	5	678	319
Okresný súd Banská Bystrica	2011	K	294	291	2	163	544
Okresný súd Banská Bystrica	2011	Nt	870	949	2	949	100
Okresný súd Banská Bystrica	2011	Ntt	986	986	NULL	986	0
Okresný súd Banská Bystrica	2011	P	378	328	390	313	136
Okresný súd Banská Bystrica	2011	Pp	1170	1167	NULL	1167	89
Okresný súd Banská Bystrica	2011	PPOm	233	233	NULL	233	0
Okresný súd Banská Bystrica	2011	Ps	300	188	363	188	213
Okresný súd Banská Bystrica	2011	Pu	1575	1575	NULL	1500	350
Okresný súd Banská Bystrica	2011	R	243	286	NULL	100	700
Okresný súd Banská Bystrica	2011	S	138	150	NULL	163	13
Okresný súd Banská Bystrica	2011	T	175	185	3	179	59
Okresný súd Banská Bystrica	2011	Tp	1062	1058	NULL	1058	4
Okresný súd Banská Bystrica	2011	Tv	145	173	NULL	200	73
Okresný súd Banská Bystrica	2011	U	6150	4375	NULL	4375	3225
Okresný súd Banská Bystrica	2011	Ul	200	100	NULL	100	150
Okresný súd Banská Bystrica	2011	Zm	7350	6750	350	7000	2700
Okresný súd Brezno	2011	C	641	683	258	616	581
Okresný súd Brezno	2011	Cb	259	365	181	380	238
Okresný súd Brezno	2011	Cbcud	17	0	NULL	0	17
Okresný súd Brezno	2011	Ccud	1260	1310	NULL	1310	140
Okresný súd Brezno	2011	Cpr	7	0	2	0	7
Okresný súd Brezno	2011	D	8590	9500	NULL	9470	2530
Okresný súd Brezno	2011	Em	50	50	NULL	50	50
Okresný súd Brezno	2011	Er	29095	29950	NULL	29950	1000
Okresný súd Brezno	2011	Ercud	80	60	NULL	60	20
Okresný súd Brezno	2011	Erd	20	20	NULL	20	3960
Okresný súd Brezno	2011	Nt	233	233	7	233	40
Okresný súd Brezno	2011	P	611	545	574	519	316
Okresný súd Brezno	2011	Pcud	33	22	NULL	22	11
Okresný súd Brezno	2011	Po	247	276	NULL	276	35
Okresný súd Brezno	2011	PPOm	11	11	NULL	11	0
Okresný súd Brezno	2011	Ps	173	93	120	93	120
Okresný súd Brezno	2011	Ro	8260	8970	NULL	8420	10
Okresný súd Brezno	2011	Rob	3989	4378	NULL	4422	1567
Okresný súd Brezno	2011	S	9	9	NULL	9	0
Okresný súd Brezno	2011	T	394	406	144	408	109
Okresný súd Brezno	2011	Tcud	40	30	NULL	30	10
Okresný súd Brezno	2011	Td	30	30	NULL	30	10
Okresný súd Brezno	2011	Tp	414	429	NULL	429	0
Okresný súd Brezno	2011	U	467	1422	NULL	1422	78
Okresný súd Brezno	2011	Ul	67	22	NULL	22	78
Okresný súd Lučenec	2011	C	222	233	292	231	52
Okresný súd Lučenec	2011	Cb	146	144	245	151	55
Okresný súd Lučenec	2011	Cpr	180	60	40	60	120
Okresný súd Lučenec	2011	Nt	467	367	8	367	458
Okresný súd Lučenec	2011	P	382	347	434	325	106
Okresný súd Lučenec	2011	PPOm	306	306	NULL	306	0
Okresný súd Lučenec	2011	Ps	450	360	380	360	180
Okresný súd Lučenec	2011	Pu	0	0	NULL	0	0
Okresný súd Lučenec	2011	S	150	150	NULL	150	0
Okresný súd Lučenec	2011	T	345	355	32	351	121
Okresný súd Lučenec	2011	Tp	224	224	NULL	224	0
Okresný súd Revúca	2011	C	200	274	220	270	74
Okresný súd Revúca	2011	Cb	191	252	226	235	161
