,judge,Vybavenosť,Reštančné z nevybavených,Kapacita vybavovať,Potvrdené rozhodnutia
162,JUDr. Gabriel Slobodník,5,4,7,8
163,JUDr. Gabriel Štefanič,6,6,8,5
164,JUDr. Gabriela Brišková,10,5,4,8
165,JUDr. Gabriela Buľubašová,8,2,0,5
166,JUDr. Gabriela Donnerová,7,7,8,8
167,JUDr. Gabriela Dúbravková,6,7,5,6
168,JUDr. Gabriela Kyseľová,1,5,4,3
169,JUDr. Gabriela Panáková,10,5,7,7
170,JUDr. Gabriela Sobolovská,7,4,8,4
171,JUDr. Gabriela Tučková,1,8,7,4
172,JUDr. Gertrúda Rennerová,5,6,6,4
173,JUDr. Hedviga Pikalíková,6,5,4,8
174,JUDr. Helena Dudzíková,6,8,9,1
175,JUDr. Helena Gajdošová,7,2,8,7
176,JUDr. Helena Kuzmová,4,9,7,4
177,JUDr. Helena Loduhová,7,5,9,3
178,JUDr. Helena Menichová,5,9,7,7
179,JUDr. Ida Takáčová,5,5,3,7
180,JUDr. Igor Malý,5,8,7,6
181,JUDr. Igor Ragan,8,8,8,6
182,JUDr. Igor Valent,1,8,5,7
183,JUDr. Ingrid Daxner,5,0,0,5
184,JUDr. Ingrid Kalináková,0,9,2,5
185,JUDr. Ingrid Šimonová,2,4,2,7
186,JUDr. Ivan Alman,8,3,8,6
187,JUDr. Ivan Bartek,6,8,7,5
188,JUDr. Ivan Ďalak,8,9,4,9
189,JUDr. Ivan Daňo,4,4,9,5
190,JUDr. Ivan Pavlovič,8,3,8,2
191,JUDr. Ivan Roháč,5,4,9,0
192,JUDr. Ivan Spurný,1,9,4,7
193,JUDr. Ivan Šimek,3,6,7,9
194,JUDr. Ivan Štepita,3,7,9,6
195,JUDr. Ivana Dančová,6,5,7,3
196,JUDr. Ivana Jaďuďová,5,5,3,3
197,JUDr. Ivana Jahnová,3,8,4,9
198,JUDr. Ivana Štiftová,0,6,5,5
199,JUDr. Iveta Banghová,5,9,8,8
200,JUDr. Iveta Farkašovská,10,5,7,6
201,JUDr. Iveta Gildeinová,2,5,6,5
202,JUDr. Iveta Halvoňová,7,3,8,4
203,JUDr. Iveta Jenčová,10,1,2,4
204,JUDr. Iveta Mihóková,2,10,8,8
205,JUDr. Iveta Puškášová,8,5,6,2
206,JUDr. Iveta Slebodníková,7,5,6,1
207,JUDr. Iveta Sopková,8,4,5,0
208,JUDr. Iveta Sýkorová,3,4,0,6
209,JUDr. Iveta Wildeová,5,7,7,10
210,JUDr. Iveta Willantová,5,5,9,0
211,JUDr. Iveta Žišková,4,10,8,8
212,JUDr. Ivo Hlucháň,6,8,9,5
213,JUDr. Ivona Hrčeková,6,1,0,3
214,JUDr. Ján Gallo,10,9,10,8
215,JUDr. Ján Jamrich,6,0,7,5
216,JUDr. Ján Kováč,2,7,3,2
217,JUDr. Ján Kozenko,6,4,7,7
218,JUDr. Ján Lapšanský,6,6,10,7
219,JUDr. Ján Lokša,9,5,8,5
220,JUDr. Ján Miľko,4,7,8,7
221,JUDr. Ján Petreás,4,6,4,5
222,JUDr. Ján Poprocký,6,4,8,3
223,JUDr. Ján Rybárik,4,4,0,1
224,JUDr. Ján Skalický,6,10,9,3
225,JUDr. Ján Slovinský,6,5,10,5
226,JUDr. Ján Šmrhola,6,8,9,3
227,JUDr. Ján Šulaj,8,9,9,7
228,JUDr. Ján Šulgan,10,9,9,0
229,JUDr. Jana Berešová,2,9,7,4
230,JUDr. Jana Coboriová,7,7,7,2
231,JUDr. Jana Dubivská,5,5,5,5
232,JUDr. Jana Dudíková,8,4,8,8
233,JUDr. Jana Fígerová,5,7,7,4
234,JUDr. Jana Gargulová,7,3,6,0
235,JUDr. Jana Grendárová,9,4,10,5
236,JUDr. Jana Halušková,6,6,7,6
237,JUDr. Jana Hanzlíková,4,8,6,4
238,JUDr. Jana Kovalčíková,5,6,5,0
239,JUDr. Jana Krnáčová,4,6,4,5
240,JUDr. Jana Kurucová,3,6,6,3
241,JUDr. Jana Novotná Mlinárcsik,9,6,6,9
242,JUDr. Jana Ocelková,1,3,0,2
243,JUDr. Jana Raganová,5,8,6,4
244,JUDr. Jana Scholtzová,6,5,4,5
245,JUDr. Jana Smereková,4,6,6,2
246,JUDr. Jana Sroková,7,6,6,10
247,JUDr. Jana Štepániková,3,4,2,1
248,JUDr. Jana Tamašiová,3,6,2,3
249,JUDr. Jana Tóthová,3,7,6,3
250,JUDr. Jana Třešková,4,6,8,7
251,JUDr. Jana Tvrdá,9,0,3,5
