,judge,Vybavenosť,Reštančné z nevybavených,Kapacita vybavovať,Potvrdené rozhodnutia
556,JUDr. Stanislav Galovič,5,10,10,7
557,"JUDr. Stanislav Sojka, PhD.",6,10,10,4
558,JUDr. Stanislav Vojtko,6,7,6,6
559,JUDr. Stanislava Semanová,5,4,6,2
560,JUDr. Sylvia Szabadošová,2,7,6,8
561,JUDr. Štefan Novák,5,7,9,6
562,JUDr. Štefan Ťažký,5,10,7,3
563,JUDr. Štefan Tomáš,7,5,8,4
564,JUDr. Tatiana Buchvaldová,5,8,7,2
565,JUDr. Tatiana Kovácsová,6,10,9,4
566,JUDr. Tatiana Poláková,0,7,0,4
567,JUDr. Tatiana Porubänová,5,7,6,4
568,JUDr. Tatiana Redenkovičová,5,6,6,7
569,JUDr. Terézia Mecelová,3,1,0,10
570,JUDr. Tibor Gál,0,8,0,4
571,JUDr. Tibor Šulák,7,4,6,2
572,JUDr. Tomáš Michálek,0,1,0,6
573,JUDr. Tomáš Novák,0,7,0,4
574,JUDr. Valéria Černegová,10,10,9,0
575,JUDr. Viera Dubovinská,8,3,7,1
576,JUDr. Viera Hadrbulcová,6,2,0,5
577,JUDr. Viera Koscelanská,10,0,4,10
578,JUDr. Viera Kováčová,4,7,5,2
579,JUDr. Viera Kukučková,4,7,6,7
580,JUDr. Viera Kumová,4,4,0,2
581,JUDr. Viera Kvetková,7,10,5,8
582,JUDr. Viera Lamprechtová,5,8,6,4
583,JUDr. Viera Obermanová,1,7,2,3
584,JUDr. Viera Sandtnerová,5,5,2,7
585,JUDr. Viera Sládečková,7,7,6,4
586,JUDr. Viera Sláviková,6,8,8,4
587,JUDr. Vincent Svoboda,8,5,8,7
588,JUDr. Vladimír Buchvald,6,6,9,4
589,JUDr. Vladimír Červeňák,4,6,5,2
590,JUDr. Vladimír Donič,3,7,6,2
591,JUDr. Vladimír Hric,6,3,9,4
592,JUDr. Vladimír Kozáčik,9,5,4,6
593,JUDr. Vladimír Sopúch,6,2,8,2
594,JUDr. Vladimír Tamaškovič,6,7,10,8
595,JUDr. Vladimír Topoľančík,3,10,9,7
596,JUDr. Vladimír Varga,5,5,8,3
597,JUDr. Vladimíra Slobodová,5,9,6,5
598,JUDr. Vlastimil Valkovič,5,6,10,4
599,JUDr. Vojtech Ševčík,0,5,0,3
600,JUDr. Zdenka Kleimanová,2,10,3,5
601,JUDr. Zdenka Mattielighová,5,10,6,6
602,JUDr. Zdenka Tomášková,3,8,9,0
603,JUDr. Zdenko Čaniga,9,7,8,1
604,JUDr. Zdenko Švárny,7,6,7,0
605,JUDr. Zlata Mrázova,3,5,0,5
606,JUDr. Zoltán Boros,3,10,8,8
607,JUDr. Zuzana Bálintová,8,8,0,3
608,JUDr. Zuzana Biščáková,2,9,6,5
609,JUDr. Zuzana Doricová,4,3,1,6
610,JUDr. Zuzana Gajerová,7,8,5,2
611,JUDr. Zuzana Korčeková,10,4,8,8
612,JUDr. Zuzana Kučerová,6,2,4,7
613,JUDr. Zuzana Kudlovská,5,6,4,6
614,JUDr. Zuzana Lohnertová,5,10,6,7
615,JUDr. Zuzana Miklošová,0,8,5,5
616,JUDr. Zuzana Moťovská Dobošová,8,2,0,4
617,JUDr. Zuzana Pilátová,8,4,10,6
618,JUDr. Zuzana Pribulová,4,8,6,9
619,JUDr. Zuzana Rigáňová,1,9,2,4
620,JUDr. Zuzana Singerová,1,8,6,3
621,JUDr. Zuzana Stolárová,5,5,6,7
622,Mgr. Adela Unčovská,3,3,0,7
623,Mgr. Adriana Dobiášová,3,1,6,8
624,Mgr. Adriana Halajová,4,7,4,8
625,Mgr. Adriana Šimková,7,4,7,8
626,Mgr. Alena Čakváriová,5,3,5,4
627,Mgr. Alena Paveleková,5,6,4,7
628,Mgr. Alexandra Osadská,7,6,9,3
629,Mgr. Alica Žingorová,7,10,7,8
630,Mgr. Andrea Hadnagyová,3,1,0,4
631,Mgr. Andrea Kubjatková,8,5,5,5
632,Mgr. Andrea Tomašovičová,0,7,0,6
633,Mgr. Andrej Kekely,6,5,5,8
634,Mgr. Anna Križáková,0,4,4,6
635,Mgr. Anna Križanová,6,8,9,4
636,Mgr. Anna Monoková,9,7,8,9
637,Mgr. Bohuš Hruška,5,6,5,1
638,Mgr. Dagmar Snopeková,4,3,7,5
639,Mgr. Dalibor Miľan,5,5,4,2
640,Mgr. Daniel Koneracký,1,9,5,7
641,Mgr. Daniela Pilarčíková,1,8,7,4
642,Mgr. Daniela Pristášová,7,5,6,7
643,Mgr. Danka Majdáková,8,5,7,9
644,Mgr. Denisa Mesárošová,1,8,2,3
645,Mgr. Dušan Chamula,4,3,0,4
646,Mgr. Erika Dodulíková,8,3,7,3
647,Mgr. Erika Szalaiová,2,4,0,5
648,Mgr. Eva Jombíková,5,7,7,7
649,Mgr. Eva Marčeková,0,5,2,2
650,Mgr. Eva Strašková,7,5,9,3
651,Mgr. Eva Suchová,5,6,7,6
652,Mgr. Gabriel Frankovič,4,0,0,0
653,Mgr. Gizela Pavelová,10,2,7,1
654,Mgr. Ingrid Steinsdorferová,4,8,8,8
655,Mgr. Ivan Antal,5,6,8,5
656,Mgr. Ivana Dufalová,2,7,6,7
657,Mgr. Ivana Hanuščaková,0,6,0,5
658,Mgr. Ivana Heinrichová,3,8,5,7
659,Mgr. Iveta Bebejová,7,10,9,7
660,Mgr. Iveta Sonderlichová,6,5,10,7
661,Mgr. Ivica Blecharžová,8,4,5,3
662,Mgr. Ján Stanček,7,3,2,3
663,Mgr. Jana Benkovičová,5,7,6,7
664,Mgr. Jana Diškanová,8,5,9,5
665,Mgr. Jana Janics Bajánková,4,5,0,8
666,Mgr. Jana Kosorínová,4,6,7,4
667,Mgr. Jana Koščová,6,10,8,4
668,Mgr. Janette Nôtová,3,8,5,2
669,Mgr. Jozef Nadzam,4,7,9,2
670,Mgr. Juraj Lukáč,9,2,8,5
671,Mgr. Kamil Petrovič,4,6,5,5
672,Mgr. Katarína Arnouldová,5,2,2,4
673,Mgr. Katarína Janotová,3,9,5,7
674,Mgr. Katarína Šimková,5,4,4,8
675,Mgr. Katarína Škultétyová,2,3,3,5
676,Mgr. Kornélia Harcsová,5,6,6,6
677,Mgr. Kristína Ferencziová,4,6,8,7
678,Mgr. Ladislav Halla,3,4,6,5
679,Mgr. Lenka Kvasnicová,3,5,3,6
680,Mgr. Libor Kysucký,6,5,7,1
681,Mgr. Lívia Gombárová,3,10,6,3
682,Mgr. Lucia Mizerová,1,7,3,8
683,Mgr. Ľudmila Ostrolucká,5,4,3,2
684,Mgr. Ľudovít Majerčík,6,10,9,6
685,Mgr. Magdaléna Andreánska,6,6,8,1
686,Mgr. Marek Anovčin,6,7,8,8
687,Mgr. Marek Mikulčík,0,8,0,4
688,Mgr. Marek Mikulčík,0,4,1,4
689,Mgr. Mária Pajerchinová Dr.,1,7,5,3
690,Mgr. Mária Sitárová,5,3,7,6
691,Mgr. Marián Hatala,5,8,6,8
692,Mgr. Marianna Hašková,6,7,7,9
693,Mgr. Maroš Fekete,5,6,7,4
694,Mgr. Marta Hrenčuková,6,8,9,5
695,Mgr. Martin Štubniak,0,7,0,6
696,Mgr. Mgr. Miriam Plavčáková,9,1,1,9
697,Mgr. Michal Kačáni,8,5,9,10
698,Mgr. Michal Vigaš,4,8,7,5
699,Mgr. Milena Fegyesová,0,7,0,7
700,Mgr. Miloš Greguš,4,7,6,5
701,Mgr. Miriam Kamenská,4,9,6,9
702,Mgr. Miroslav Lehoczký,5,4,7,4
703,Mgr. Miroslav Mazúch,8,5,9,5
704,Mgr. Miroslava Šúleková,6,2,9,3
705,Mgr. Monika Farkašová,7,5,9,3
706,Mgr. Nicola Kuzmiaková,10,10,10,6
707,Mgr. Nina Kollárová,5,4,0,4
708,Mgr. Pamela Záleská,3,5,7,3
709,Mgr. Patricia Skotnická,0,2,0,9
710,Mgr. Patrícia Železníkova,3,7,0,8
711,Mgr. Pavol Tomík,8,2,9,6
712,Mgr. Peter Garaj,6,6,8,7
713,Mgr. Peter Hvizdoš,7,4,4,5
714,Mgr. Peter Mezőszállási,7,8,7,3
715,Mgr. Peter Revický,1,5,1,10
716,Mgr. Peter Sivák,2,6,6,4
717,Mgr. Raul Pospíšil,4,5,3,4
718,Mgr. Renáta Krajčiová,3,8,8,5
719,Mgr. Róbert Veterník,7,1,10,6
720,Mgr. Rudolf Novotný,10,0,8,1
721,Mgr. Silvia Kysucká,6,9,8,9
722,Mgr. Slavomíra Mlynarčíková,4,9,7,6
723,Mgr. Stanislava Miklánková,4,6,0,8
724,Mgr. Stella Al Khufash,5,6,7,0
725,Mgr. Štefan Fedor,5,8,6,5
726,Mgr. Vanda Mikulášová,1,6,4,0
727,Mgr. Viera Betáková,5,7,6,5
728,Mgr. Viera Kováčová,4,6,4,7
729,"Mgr. Viera Milatová, PhD.",7,7,5,6
730,Mgr. Viera Petrová,3,9,7,7
731,Mgr. Vladimír Zimányi,6,0,0,2
732,Mgr. Vojtech Chmelan,6,4,9,5
733,Mgr. Zdenka Saraková,0,4,0,6
734,Mgr. Zita Leimbergerová,9,5,0,6
735,Mgr. Zuzana Bajlová,7,8,9,6
736,Mgr. Zuzana Bezáková,7,3,9,5
737,Mgr. Zuzana Čisovská,7,4,5,5
738,Mgr. Zuzana Dojčánová,5,8,7,7
